# time dealer_self_i foreign_i 
1491350400.000000 5000.000000 3547875.000000 
1491436800.000000 2000.000000 2725000.000000 
1491523200.000000 8000.000000 555000.000000 
1491782400.000000 0.000000 249000.000000 
1491868800.000000 80000.000000 699000.000000 
1491955200.000000 20000.000000 847000.000000 
1492041600.000000 44000.000000 434000.000000 
1492128000.000000 0.000000 463000.000000 
1492387200.000000 7000.000000 1528000.000000 
1492473600.000000 0.000000 2358000.000000 
1492732800.000000 502000.000000 5149652.000000 
1492992000.000000 4000.000000 7353622.000000 
1493078400.000000 22000.000000 4934259.000000 
