timestamp,timestring,K9_D
1471564800000,2016-08-19,74.04893
1471824000000,2016-08-22,64.38943
1471910400000,2016-08-23,62.9764
1471996800000,2016-08-24,62.45671
1472083200000,2016-08-25,64.99738
1472169600000,2016-08-26,58.55791
1472428800000,2016-08-29,47.58561
1472515200000,2016-08-30,37.12917
1472601600000,2016-08-31,31.95998
1472688000000,2016-09-01,26.68299
1472774400000,2016-09-02,18.14708
1473033600000,2016-09-05,16.0407
1473120000000,2016-09-06,18.57909
1473206400000,2016-09-07,16.68712
1473292800000,2016-09-08,17.06083
1473379200000,2016-09-09,15.26276
1473465600000,2016-09-10,27.41655
1473638400000,2016-09-12,33.22021
1473724800000,2016-09-13,29.09124
1473811200000,2016-09-14,21.83315
1474243200000,2016-09-19,27.37594
1474329600000,2016-09-20,30.21645
1474416000000,2016-09-21,46.33482
1474502400000,2016-09-22,56.242
1474588800000,2016-09-23,63.88356
1474848000000,2016-09-26,56.94089
1475107200000,2016-09-29,49.53467
1475193600000,2016-09-30,45.9861
1475452800000,2016-10-03,48.07034
1475539200000,2016-10-04,46.73616
1475625600000,2016-10-05,47.82413
1475712000000,2016-10-06,37.88276
1475798400000,2016-10-07,26.53721
1476144000000,2016-10-11,23.24703
1476230400000,2016-10-12,21.4504
1476316800000,2016-10-13,21.44313
1476403200000,2016-10-14,14.93646
1476662400000,2016-10-17,12.93383
1476748800000,2016-10-18,14.57494
1476835200000,2016-10-19,18.47083
1476921600000,2016-10-20,20.17906
1477008000000,2016-10-21,33.53817
1477267200000,2016-10-24,47.66744
1477353600000,2016-10-25,58.70137
1477440000000,2016-10-26,60.92909
1477526400000,2016-10-27,61.13221
1477612800000,2016-10-28,45.02831
1477872000000,2016-10-31,36.36805
1477958400000,2016-11-01,32.97552
1478044800000,2016-11-02,22.72441
1478131200000,2016-11-03,23.24483
1478217600000,2016-11-04,25.75296
1478476800000,2016-11-07,33.29768
1478563200000,2016-11-08,39.94041
1478649600000,2016-11-09,29.80158
1478736000000,2016-11-10,43.32452
1478822400000,2016-11-11,42.0906
1479081600000,2016-11-14,56.42916
1479168000000,2016-11-15,65.29239
1479254400000,2016-11-16,68.05656
1479340800000,2016-11-17,78.07545
1479427200000,2016-11-18,82.20904
1479686400000,2016-11-21,82.31926
1479772800000,2016-11-22,82.65726
1479859200000,2016-11-23,80.10487
1479945600000,2016-11-24,79.4902
1480032000000,2016-11-25,84.61742
1480291200000,2016-11-28,79.90886
1480377600000,2016-11-29,82.06044
1480464000000,2016-11-30,80.57761
1480550400000,2016-12-01,79.23924
1480636800000,2016-12-02,70.56808
1480896000000,2016-12-05,66.93786
1480982400000,2016-12-06,69.76185
1481068800000,2016-12-07,72.69838
1481155200000,2016-12-08,75.25131
1481241600000,2016-12-09,71.22015
1481500800000,2016-12-12,68.63397
1481587200000,2016-12-13,63.06367
1481673600000,2016-12-14,67.04247
1481760000000,2016-12-15,62.34207
1481846400000,2016-12-16,54.15401
1482105600000,2016-12-19,36.10267
1482192000000,2016-12-20,32.00496
1482278400000,2016-12-21,23.33666
1482364800000,2016-12-22,17.22446
1482451200000,2016-12-23,17.03855
1482710400000,2016-12-26,18.9979
1482796800000,2016-12-27,20.63628
1482883200000,2016-12-28,23.83505
1482969600000,2016-12-29,32.10626
1483056000000,2016-12-30,53.86033
1483401600000,2017-01-03,67.6898
1483488000000,2017-01-04,68.85536
1483574400000,2017-01-05,69.63241
1483660800000,2017-01-06,69.8784
1483920000000,2017-01-09,63.57906
1484006400000,2017-01-10,61.71938
1484092800000,2017-01-11,60.29518
1484179200000,2017-01-12,55.58142
1484265600000,2017-01-13,47.83858
1484524800000,2017-01-16,38.24156
1484611200000,2017-01-17,38.62566
1484697600000,2017-01-18,53.10088
1484784000000,2017-01-19,57.62283
1484870400000,2017-01-20,58.41522
1485129600000,2017-01-23,66.94346
1485216000000,2017-01-24,70.62893
1485993600000,2017-02-02,74.41927
1486080000000,2017-02-03,80.38208
1486339200000,2017-02-06,74.22298
1486425600000,2017-02-07,69.0106
1486512000000,2017-02-08,73.78486
1486598400000,2017-02-09,75.29053
1486684800000,2017-02-10,68.7472
1486944000000,2017-02-13,56.52329
1487030400000,2017-02-14,47.11615
1487116800000,2017-02-15,42.74408
1487203200000,2017-02-16,40.37344
1487289600000,2017-02-17,55.48706
