timestamp,timestring,Close_D
1470268800000,2016-08-04,5.85
1470355200000,2016-08-05,5.6
1470614400000,2016-08-08,5.53
1470700800000,2016-08-09,5.51
1470787200000,2016-08-10,6.13
1470873600000,2016-08-11,5.86
1470960000000,2016-08-12,5.14
1471219200000,2016-08-15,5.13
1471305600000,2016-08-16,5.1
1471392000000,2016-08-17,4.95
1471478400000,2016-08-18,4.81
1471564800000,2016-08-19,4.75
1471910400000,2016-08-23,4.4
1471996800000,2016-08-24,4.28
1472083200000,2016-08-25,4.31
1472169600000,2016-08-26,4.4
1472428800000,2016-08-29,4.22
1472515200000,2016-08-30,4.24
1472601600000,2016-08-31,4.3
1472688000000,2016-09-01,4.42
1472774400000,2016-09-02,4.35
1473033600000,2016-09-05,4.4
1473206400000,2016-09-07,4.43
1473292800000,2016-09-08,4.47
1473379200000,2016-09-09,4.51
1473465600000,2016-09-10,4.45
1473638400000,2016-09-12,4.45
1473724800000,2016-09-13,4.46
1473811200000,2016-09-14,4.46
1473897600000,2016-09-15,4.46
1473984000000,2016-09-16,4.46
1474243200000,2016-09-19,4.3
1474329600000,2016-09-20,3.78
1474416000000,2016-09-21,3.79
1474502400000,2016-09-22,3.75
1474588800000,2016-09-23,3.76
1474848000000,2016-09-26,3.76
1474934400000,2016-09-27,3.76
1475020800000,2016-09-28,3.76
1475107200000,2016-09-29,3.77
1475193600000,2016-09-30,3.73
1475452800000,2016-10-03,3
1475539200000,2016-10-04,3
1475798400000,2016-10-07,2.96
1476144000000,2016-10-11,2.82
1476230400000,2016-10-12,2.83
1476316800000,2016-10-13,2.72
1476403200000,2016-10-14,2.62
1476662400000,2016-10-17,2.47
1476748800000,2016-10-18,2.38
1476835200000,2016-10-19,2.39
1476921600000,2016-10-20,2.5
1477267200000,2016-10-24,2.51
1477353600000,2016-10-25,2.53
1477440000000,2016-10-26,3
1477526400000,2016-10-27,3.36
1477612800000,2016-10-28,3.49
1477872000000,2016-10-31,3.53
1477958400000,2016-11-01,3.54
1478044800000,2016-11-02,3.62
1478131200000,2016-11-03,3.59
1478217600000,2016-11-04,3.6
1478649600000,2016-11-09,3.45
1478736000000,2016-11-10,3.5
1478822400000,2016-11-11,3.37
1479254400000,2016-11-16,3.32
1479945600000,2016-11-24,3.1
1480032000000,2016-11-25,3.06
1480291200000,2016-11-28,2.88
1480464000000,2016-11-30,2.9
1480550400000,2016-12-01,2.9
1480636800000,2016-12-02,2.76
1480896000000,2016-12-05,2.81
1480982400000,2016-12-06,2.75
1481068800000,2016-12-07,2.81
1481155200000,2016-12-08,2.77
1481241600000,2016-12-09,2.75
1481500800000,2016-12-12,2.92
1481587200000,2016-12-13,3.05
1481673600000,2016-12-14,3.09
1481760000000,2016-12-15,3.16
1481846400000,2016-12-16,3.08
1482105600000,2016-12-19,3.09
1482192000000,2016-12-20,3.08
1482278400000,2016-12-21,3.08
1482710400000,2016-12-26,2.9
1482796800000,2016-12-27,2.77
1482883200000,2016-12-28,2.9
1482969600000,2016-12-29,2.9
1483056000000,2016-12-30,2.77
1483401600000,2017-01-03,2.65
1483488000000,2017-01-04,3.15
1483574400000,2017-01-05,3.05
1483660800000,2017-01-06,2.78
1483920000000,2017-01-09,2.91
1484006400000,2017-01-10,3
1484092800000,2017-01-11,3.1
1484179200000,2017-01-12,3.33
1484265600000,2017-01-13,3.34
1484524800000,2017-01-16,3.35
1484611200000,2017-01-17,3.47
1484697600000,2017-01-18,3.63
1484784000000,2017-01-19,4.09
1484870400000,2017-01-20,4.19
1485129600000,2017-01-23,4.2
1485216000000,2017-01-24,4.33
1485993600000,2017-02-02,4.73
1486080000000,2017-02-03,5.15
1486339200000,2017-02-06,5.09
1486425600000,2017-02-07,4.53
1486512000000,2017-02-08,4.31
1486598400000,2017-02-09,4.47
1486684800000,2017-02-10,4.23
1486944000000,2017-02-13,4.9
1487030400000,2017-02-14,4.62
1487116800000,2017-02-15,4.57
1487203200000,2017-02-16,4.58
1487289600000,2017-02-17,4.6
1487376000000,2017-02-18,4.85
1487548800000,2017-02-20,4.49
1470182400000,2016-08-03,6
1470268800000,2016-08-04,5.85
1470355200000,2016-08-05,5.6
1470614400000,2016-08-08,5.53
1470700800000,2016-08-09,5.51
1470787200000,2016-08-10,6.13
1470873600000,2016-08-11,5.86
1470960000000,2016-08-12,5.14
1471219200000,2016-08-15,5.13
1471305600000,2016-08-16,5.1
1471392000000,2016-08-17,4.95
1471478400000,2016-08-18,4.81
1471564800000,2016-08-19,4.75
1471910400000,2016-08-23,4.4
1471996800000,2016-08-24,4.28
1472083200000,2016-08-25,4.31
1472169600000,2016-08-26,4.4
1472428800000,2016-08-29,4.22
1472515200000,2016-08-30,4.24
1472601600000,2016-08-31,4.3
1472688000000,2016-09-01,4.42
1472774400000,2016-09-02,4.35
1473033600000,2016-09-05,4.4
1473206400000,2016-09-07,4.43
1473292800000,2016-09-08,4.47
1473379200000,2016-09-09,4.51
1473465600000,2016-09-10,4.45
1473638400000,2016-09-12,4.45
1473724800000,2016-09-13,4.46
1473811200000,2016-09-14,4.46
1473897600000,2016-09-15,4.46
1473984000000,2016-09-16,4.46
1474243200000,2016-09-19,4.3
1474329600000,2016-09-20,3.78
1474416000000,2016-09-21,3.79
1474502400000,2016-09-22,3.75
1474588800000,2016-09-23,3.76
1474848000000,2016-09-26,3.76
1474934400000,2016-09-27,3.76
1475020800000,2016-09-28,3.76
1475107200000,2016-09-29,3.77
1475193600000,2016-09-30,3.73
1475452800000,2016-10-03,3
1475539200000,2016-10-04,3
1475798400000,2016-10-07,2.96
1476144000000,2016-10-11,2.82
1476230400000,2016-10-12,2.83
1476316800000,2016-10-13,2.72
1476403200000,2016-10-14,2.62
1476662400000,2016-10-17,2.47
1476748800000,2016-10-18,2.38
1476835200000,2016-10-19,2.39
1476921600000,2016-10-20,2.5
1477267200000,2016-10-24,2.51
1477353600000,2016-10-25,2.53
1477440000000,2016-10-26,3
1477526400000,2016-10-27,3.36
1477612800000,2016-10-28,3.49
1477872000000,2016-10-31,3.53
1477958400000,2016-11-01,3.54
1478044800000,2016-11-02,3.62
1478131200000,2016-11-03,3.59
1478217600000,2016-11-04,3.6
1478649600000,2016-11-09,3.45
1478736000000,2016-11-10,3.5
1478822400000,2016-11-11,3.37
1479254400000,2016-11-16,3.32
1479945600000,2016-11-24,3.1
1480032000000,2016-11-25,3.06
1480291200000,2016-11-28,2.88
1480464000000,2016-11-30,2.9
1480550400000,2016-12-01,2.9
1480636800000,2016-12-02,2.76
1480896000000,2016-12-05,2.81
1480982400000,2016-12-06,2.75
1481068800000,2016-12-07,2.81
1481155200000,2016-12-08,2.77
1481241600000,2016-12-09,2.75
1481500800000,2016-12-12,2.92
1481587200000,2016-12-13,3.05
1481673600000,2016-12-14,3.09
1481760000000,2016-12-15,3.16
1481846400000,2016-12-16,3.08
1482105600000,2016-12-19,3.09
1482192000000,2016-12-20,3.08
1482278400000,2016-12-21,3.08
1482710400000,2016-12-26,2.9
1482796800000,2016-12-27,2.77
1482883200000,2016-12-28,2.9
1482969600000,2016-12-29,2.9
1483056000000,2016-12-30,2.77
1483401600000,2017-01-03,2.65
1483488000000,2017-01-04,3.15
1483574400000,2017-01-05,3.05
1483660800000,2017-01-06,2.78
1483920000000,2017-01-09,2.91
1484006400000,2017-01-10,3
1484092800000,2017-01-11,3.1
1484179200000,2017-01-12,3.33
1484265600000,2017-01-13,3.34
1484524800000,2017-01-16,3.35
1484611200000,2017-01-17,3.47
1484697600000,2017-01-18,3.63
1484784000000,2017-01-19,4.09
1484870400000,2017-01-20,4.19
1485129600000,2017-01-23,4.2
1485216000000,2017-01-24,4.33
1485993600000,2017-02-02,4.73
1486080000000,2017-02-03,5.15
1486339200000,2017-02-06,5.09
1486425600000,2017-02-07,4.53
1486512000000,2017-02-08,4.31
1486598400000,2017-02-09,4.47
1486684800000,2017-02-10,4.23
1486944000000,2017-02-13,4.9
1487030400000,2017-02-14,4.62
1487116800000,2017-02-15,4.57
1487203200000,2017-02-16,4.58
1487289600000,2017-02-17,4.6
1487376000000,2017-02-18,4.85
1487548800000,2017-02-20,4.49
