106年01月 1101台泥            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","2,890,982","101,450,502","35.45","35.45","34.80","35.15"," 0.00","1,669",
"106/01/04","3,296,820","115,895,011","35.20","35.30","35.00","35.25","+0.10","1,737",
"106/01/05","4,098,017","143,758,836","35.00","35.25","34.90","35.25"," 0.00","1,788",
"106/01/06","3,542,625","124,391,293","35.30","35.30","34.90","35.25"," 0.00","1,774",
"106/01/09","4,877,900","170,970,138","35.25","35.35","34.90","34.90","-0.35","1,515",
"106/01/10","2,863,568","100,132,754","34.80","35.15","34.65","34.95","+0.05","1,142",
"106/01/11","5,403,483","192,049,377","35.15","35.85","35.05","35.80","+0.85","2,484",
"106/01/12","7,967,333","288,119,189","35.85","36.30","35.70","36.30","+0.50","2,970",
"106/01/13","3,896,119","140,384,134","36.30","36.40","35.70","36.00","-0.30","1,778",
"106/01/16","2,145,899","76,997,328","35.80","36.05","35.60","35.80","-0.20","1,066",
"106/01/17","2,902,410","103,568,249","35.90","36.00","35.55","35.55","-0.25","988",
"106/01/18","8,308,000","294,868,541","35.45","35.55","35.30","35.45","-0.10","2,080",
"106/01/19","6,098,231","211,855,327","35.20","35.20","34.60","34.65","-0.80","3,161",
"106/01/20","2,355,242","82,362,962","34.80","35.10","34.75","34.95","+0.30","1,187",
"106/01/23","9,432,643","333,011,316","34.50","35.80","34.50","35.75","+0.80","3,717",
"106/01/24","6,790,602","241,575,213","35.75","36.00","35.30","35.40","-0.35","2,861",
