106年01月 1102亞泥            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","1,271,792","33,550,727","26.45","26.50","26.30","26.50","+0.15","596",
"106/01/04","1,493,313","39,432,440","26.50","26.55","26.35","26.35","-0.15","749",
"106/01/05","2,586,202","68,508,845","26.35","26.60","26.35","26.50","+0.15","1,071",
"106/01/06","1,174,675","31,140,381","26.50","26.60","26.40","26.50"," 0.00","717",
"106/01/09","1,971,059","51,951,441","26.50","26.60","26.25","26.30","-0.20","715",
"106/01/10","2,051,676","53,792,302","26.35","26.40","26.10","26.20","-0.10","905",
"106/01/11","2,711,573","71,800,551","26.30","26.65","26.20","26.65","+0.45","1,510",
"106/01/12","3,418,469","92,445,972","26.75","27.20","26.75","27.20","+0.55","1,916",
"106/01/13","1,754,704","47,585,510","27.25","27.30","26.90","27.25","+0.05","798",
"106/01/16","1,247,986","33,506,217","27.15","27.15","26.60","26.90","-0.35","723",
"106/01/17","1,087,291","29,314,215","26.90","27.00","26.80","27.00","+0.10","518",
"106/01/18","2,393,213","63,790,792","26.80","26.90","26.50","26.55","-0.45","1,517",
"106/01/19","2,910,181","76,660,816","26.50","26.50","26.25","26.30","-0.25","1,616",
"106/01/20","4,796,904","125,888,512","26.30","26.35","26.20","26.20","-0.10","2,368",
"106/01/23","2,297,002","60,897,179","26.45","26.65","26.40","26.45","+0.25","1,527",
"106/01/24","3,220,387","86,012,918","26.60","26.85","26.50","26.75","+0.30","1,490",
