106年01月 1103嘉泥            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","278,853","2,411,403","8.71","8.71","8.61","8.71","X0.00","171",
"106/01/04","228,854","1,983,323","8.71","8.71","8.65","8.67","-0.04","89",
"106/01/05","320,381","2,771,693","8.71","8.71","8.61","8.68","+0.01","192",
"106/01/06","238,574","2,063,324","8.69","8.70","8.62","8.65","-0.03","128",
"106/01/09","379,177","3,283,733","8.65","8.81","8.60","8.75","+0.10","169",
"106/01/10","97,506","850,175","8.73","8.73","8.71","8.72","-0.03","56",
"106/01/11","182,008","1,589,661","8.70","8.78","8.70","8.78","+0.06","74",
"106/01/12","719,771","6,374,911","8.82","8.94","8.74","8.80","+0.02","210",
"106/01/13","267,578","2,371,385","8.85","8.89","8.84","8.85","+0.05","107",
"106/01/16","301,375","2,673,814","8.85","8.92","8.81","8.88","+0.03","135",
"106/01/17","313,743","2,791,435","8.88","8.91","8.86","8.90","+0.02","101",
"106/01/18","362,930","3,235,927","8.87","8.97","8.82","8.94","+0.04","208",
"106/01/19","173,849","1,551,519","8.94","8.95","8.91","8.92","-0.02","76",
"106/01/20","319,865","2,867,866","8.92","9.00","8.92","9.00","+0.08","126",
"106/01/23","2,263,345","21,515,005","9.07","9.80","9.07","9.72","+0.72","924",
"106/01/24","1,489,073","14,420,925","9.80","9.80","9.58","9.61","-0.11","547",
