106年01月 1108幸福            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","20,000","182,740","9.13","9.15","9.13","9.15","+0.03","10",
"106/01/04","150,100","1,367,970","9.15","9.15","9.09","9.13","-0.02","50",
"106/01/05","84,800","778,526","9.12","9.20","9.12","9.19","+0.06","45",
"106/01/06","72,000","660,370","9.19","9.20","9.15","9.15","-0.04","37",
"106/01/09","97,000","885,420","9.15","9.17","9.11","9.17","+0.02","35",
"106/01/10","100,000","913,120","9.12","9.17","9.12","9.17"," 0.00","28",
"106/01/11","90,000","824,380","9.19","9.19","9.14","9.14","-0.03","30",
"106/01/12","175,000","1,602,750","9.19","9.19","9.15","9.18","+0.04","46",
"106/01/13","132,575","1,214,526","9.21","9.21","9.15","9.17","-0.01","22",
"106/01/16","54,529","498,273","9.17","9.18","9.11","9.16","-0.01","31",
"106/01/17","140,050","1,276,667","9.15","9.15","9.11","9.12","-0.04","35",
"106/01/18","138,900","1,270,281","9.12","9.19","9.10","9.19","+0.07","98",
"106/01/19","50,437","460,056","9.12","9.15","9.12","9.13","-0.06","22",
"106/01/20","150,075","1,370,562","9.12","9.19","9.10","9.18","+0.05","34",
"106/01/23","70,101","643,130","9.19","9.19","9.15","9.19","+0.01","32",
"106/01/24","139,010","1,273,952","9.19","9.19","9.13","9.16","-0.03","44",
