106年01月 1110東泥            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","25,700","406,139","15.80","15.85","15.75","15.75","-0.25","20",
"106/01/04","8,400","131,440","15.65","15.65","15.65","15.65","-0.10","5",
"106/01/05","14,004","218,512","15.60","15.65","15.55","15.65"," 0.00","8",
"106/01/06","21,250","330,425","15.55","15.60","15.50","15.60","-0.05","14",
"106/01/09","12,069","187,069","15.50","15.50","15.50","15.50","-0.10","6",
"106/01/10","16,003","247,946","15.45","15.50","15.45","15.50"," 0.00","6",
"106/01/11","41,000","624,900","15.40","15.40","15.05","15.35","-0.15","15",
"106/01/12","10,000","154,000","15.40","15.40","15.40","15.40","+0.05","2",
"106/01/13","20,183","312,036","15.25","15.55","15.25","15.55","+0.15","6",
"106/01/16","0","0","0.00","0.00","0.00","0.00"," 0.00","0",
"106/01/17","5,010","77,555","15.45","15.50","15.45","15.50","X0.00","5",
"106/01/18","108,918","1,710,970","15.50","15.85","15.50","15.75","+0.25","101",
"106/01/19","23,000","357,200","15.55","15.65","15.40","15.65","-0.10","13",
"106/01/20","4,239","65,903","15.55","15.60","15.55","15.60","-0.05","9",
"106/01/23","40,091","621,801","15.55","15.55","15.50","15.50","-0.10","7",
"106/01/24","119,262","1,870,289","15.40","15.90","15.20","15.90","+0.40","40",
