106年01月 1201味全            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","653,627","11,504,967","17.55","17.70","17.55","17.65","+0.15","240",
"106/01/04","419,790","7,358,454","17.65","17.70","17.40","17.45","-0.20","200",
"106/01/05","185,753","3,246,486","17.45","17.50","17.40","17.50","+0.05","130",
"106/01/06","384,144","6,712,596","17.50","17.60","17.40","17.45","-0.05","214",
"106/01/09","648,053","11,368,766","17.40","17.60","17.40","17.55","+0.10","180",
"106/01/10","223,217","3,893,248","17.55","17.55","17.35","17.40","-0.15","114",
"106/01/11","1,398,580","24,981,467","17.45","18.10","17.45","18.00","+0.60","540",
"106/01/12","1,179,145","21,474,060","18.00","18.30","18.00","18.10","+0.10","509",
"106/01/13","825,260","14,703,694","18.10","18.10","17.65","17.80","-0.30","337",
"106/01/16","156,959","2,777,467","17.80","17.80","17.65","17.65","-0.15","107",
"106/01/17","472,151","8,404,978","17.70","17.90","17.70","17.90","+0.25","206",
"106/01/18","302,815","5,407,242","17.90","17.95","17.80","17.85","-0.05","180",
"106/01/19","1,396,087","25,456,436","17.90","18.40","17.90","18.40","+0.55","517",
"106/01/20","617,505","11,341,285","18.40","18.45","18.30","18.30","-0.10","325",
"106/01/23","431,609","7,886,447","18.25","18.35","18.25","18.25","-0.05","258",
"106/01/24","743,070","13,627,578","18.20","18.45","18.20","18.35","+0.10","303",
