106年01月 1203味王            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","7,479","171,268","23.40","23.40","22.80","22.80","-0.20","15",
"106/01/04","28,680","655,812","22.65","23.00","22.65","22.90","+0.10","25",
"106/01/05","32,250","736,880","22.85","22.90","22.80","22.90"," 0.00","34",
"106/01/06","9,765","224,299","22.80","23.10","22.80","23.10","+0.20","34",
"106/01/09","1,271","29,247","23.05","23.05","23.05","23.05","-0.05","12",
"106/01/10","10,003","228,453","22.95","22.95","22.80","22.90","-0.15","28",
"106/01/11","83,139","1,903,719","22.95","22.95","22.85","22.85","-0.05","35",
"106/01/12","27,044","619,140","22.85","22.95","22.85","22.90","+0.05","30",
"106/01/13","116,806","2,674,034","22.90","22.95","22.85","22.85","-0.05","35",
"106/01/16","79,372","1,817,972","22.90","23.00","22.90","22.90","+0.05","33",
"106/01/17","74,364","1,711,776","23.00","23.05","23.00","23.05","+0.15","33",
"106/01/18","188,106","4,329,496","23.00","23.30","22.80","23.25","+0.20","65",
"106/01/19","18,888","437,974","23.30","23.30","23.05","23.15","-0.10","22",
"106/01/20","12,026","277,301","23.05","23.15","23.05","23.15"," 0.00","21",
"106/01/23","29,037","674,153","23.60","23.60","23.05","23.15"," 0.00","32",
"106/01/24","27,041","624,226","23.15","23.15","23.05","23.05","-0.10","31",
