106年01月 1210大成            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","2,213,850","64,713,984","29.20","29.50","29.10","29.15","+0.05","976",
"106/01/04","2,918,192","85,320,518","29.30","29.50","28.85","29.10","-0.05","1,478",
"106/01/05","2,232,577","64,829,021","29.20","29.30","28.95","29.00","-0.10","1,442",
"106/01/06","2,297,939","66,322,023","29.00","29.10","28.75","28.80","-0.20","1,570",
"106/01/09","2,832,711","80,825,224","28.85","29.00","28.35","28.40","-0.40","1,588",
"106/01/10","2,885,492","81,492,284","28.40","28.65","28.10","28.25","-0.15","1,925",
"106/01/11","2,267,802","64,730,651","28.60","28.75","28.40","28.50","+0.25","1,234",
"106/01/12","2,303,942","65,886,989","28.60","28.85","28.40","28.50"," 0.00","1,339",
"106/01/13","1,351,563","38,452,485","28.60","28.60","28.35","28.50"," 0.00","780",
"106/01/16","1,608,731","45,537,001","28.50","28.50","28.20","28.25","-0.25","746",
"106/01/17","1,133,785","32,084,266","28.30","28.50","28.20","28.40","+0.15","479",
"106/01/18","2,174,220","62,600,696","28.50","29.00","28.40","28.75","+0.35","1,131",
"106/01/19","1,906,914","54,803,593","28.95","28.95","28.55","28.70","-0.05","765",
"106/01/20","1,554,344","44,630,553","28.70","28.90","28.55","28.80","+0.10","561",
"106/01/23","1,927,731","55,587,544","28.95","28.95","28.75","28.75","-0.05","818",
"106/01/24","2,024,557","58,501,072","28.80","29.00","28.75","28.80","+0.05","915",
