106年01月 1213大飲            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","19,200","319,187","16.60","16.80","16.60","16.80"," 0.00","23",
"106/01/04","15,350","255,995","16.70","16.80","16.60","16.80"," 0.00","13",
"106/01/05","17,000","286,600","16.95","17.00","16.80","16.80"," 0.00","12",
"106/01/06","34,986","587,413","16.90","16.90","16.70","16.85","+0.05","27",
"106/01/09","28,402","476,101","16.95","16.95","16.60","16.80","-0.05","25",
"106/01/10","19,313","321,592","16.70","16.75","16.60","16.75","-0.05","15",
"106/01/11","46,002","769,583","16.80","16.80","16.70","16.80","+0.05","24",
"106/01/12","14,410","240,556","16.80","16.80","16.65","16.75","-0.05","12",
"106/01/13","31,600","528,579","16.85","16.85","16.65","16.80","+0.05","22",
"106/01/16","102,004","1,714,314","16.80","16.90","16.75","16.80"," 0.00","32",
"106/01/17","28,301","476,070","16.80","16.85","16.75","16.85","+0.05","16",
"106/01/18","25,100","422,078","16.90","16.90","16.70","16.90","+0.05","18",
"106/01/19","18,100","305,880","16.90","16.95","16.85","16.85","-0.05","12",
"106/01/20","30,825","521,358","16.85","17.00","16.85","16.90","+0.05","22",
"106/01/23","51,104","865,058","16.90","17.00","16.90","17.00","+0.10","25",
"106/01/24","80,001","1,363,417","17.00","17.10","17.00","17.05","+0.05","42",
