106年01月 1215卜蜂            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","2,947,063","135,872,903","45.00","46.60","45.00","46.25","+1.40","1,900",
"106/01/04","6,603,724","315,457,701","46.70","48.50","46.50","47.75","+1.50","3,986",
"106/01/05","3,723,584","178,366,341","48.20","48.30","47.15","47.85","+0.10","2,151",
"106/01/06","2,805,492","135,111,916","48.25","48.50","47.80","48.00","+0.15","1,367",
"106/01/09","2,176,546","104,020,223","48.00","48.45","47.25","47.60","-0.40","1,207",
"106/01/10","2,317,943","109,030,213","47.50","47.80","46.55","46.95","-0.65","1,358",
"106/01/11","2,758,329","131,746,388","47.70","48.35","47.35","47.40","+0.45","1,602",
"106/01/12","2,225,226","106,511,036","47.90","48.30","47.55","47.55","+0.15","1,138",
"106/01/13","979,522","46,679,104","47.95","47.95","47.50","47.70","+0.15","684",
"106/01/16","1,326,748","62,533,511","47.60","47.65","46.90","47.00","-0.70","843",
"106/01/17","1,126,468","53,009,496","47.45","47.50","46.85","47.00"," 0.00","750",
"106/01/18","11,256,776","550,013,655","47.30","49.70","47.25","49.25","+2.25","4,748",
"106/01/19","5,419,256","259,322,507","49.00","49.00","47.45","47.50","-1.75","3,092",
"106/01/20","5,452,705","254,367,893","47.50","47.75","46.40","46.50","-1.00","2,862",
"106/01/23","1,580,874","74,076,398","46.95","47.05","46.60","47.00","+0.50","882",
"106/01/24","2,453,068","114,277,018","47.00","47.20","46.40","46.50","-0.50","1,452",
