106年01月 1219福壽            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","208,577","3,294,811","15.70","15.80","15.70","15.80","-0.10","23",
"106/01/04","26,602","418,900","15.70","15.80","15.70","15.75","-0.05","14",
"106/01/05","9,059","142,475","15.70","15.80","15.70","15.80","+0.05","7",
"106/01/06","13,745","216,068","15.65","15.75","15.65","15.75","-0.05","15",
"106/01/09","112,235","1,759,791","15.80","15.80","15.60","15.60","-0.15","24",
"106/01/10","21,499","338,157","15.75","15.80","15.65","15.80","+0.20","17",
"106/01/11","41,101","650,833","15.80","15.90","15.80","15.85","+0.05","24",
"106/01/12","28,450","450,910","15.80","15.90","15.80","15.85"," 0.00","25",
"106/01/13","4,314","68,139","15.80","15.80","15.75","15.75","-0.10","8",
"106/01/16","37,253","586,032","15.70","15.80","15.70","15.80","+0.05","24",
"106/01/17","206,378","3,258,871","15.70","15.80","15.70","15.70","-0.10","29",
"106/01/18","62,357","988,452","15.95","15.95","15.80","15.85","+0.15","63",
"106/01/19","33,008","522,269","15.80","15.85","15.80","15.85"," 0.00","25",
"106/01/20","12,652","198,733","15.70","15.75","15.70","15.75","-0.10","14",
"106/01/23","35,538","562,496","15.85","15.95","15.70","15.90","+0.15","32",
"106/01/24","15,048","239,506","16.00","16.00","15.80","15.85","-0.05","13",
