106年01月 1220台榮            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","269,134","2,889,431","10.95","10.95","10.70","10.80","-0.10","53",
"106/01/04","1,007,003","10,694,580","10.75","10.80","10.55","10.55","-0.25","175",
"106/01/05","2,012,047","21,338,098","10.60","10.65","10.50","10.65","+0.10","211",
"106/01/06","185,001","1,987,860","10.65","10.80","10.65","10.75","+0.10","68",
"106/01/09","58,002","624,470","10.80","10.80","10.75","10.80","+0.05","33",
"106/01/10","202,001","2,170,860","10.75","10.80","10.65","10.75","-0.05","45",
"106/01/11","56,004","602,592","10.70","10.80","10.70","10.80","+0.05","25",
"106/01/12","71,231","768,767","10.80","10.80","10.70","10.80"," 0.00","25",
"106/01/13","164,001","1,759,410","10.80","10.80","10.70","10.70","-0.10","34",
"106/01/16","31,003","330,330","10.70","10.70","10.60","10.70"," 0.00","16",
"106/01/17","90,002","958,820","10.70","10.70","10.60","10.70"," 0.00","46",
"106/01/18","100,002","1,068,220","10.70","10.75","10.65","10.75","+0.05","56",
"106/01/19","102,000","1,090,150","10.75","10.75","10.65","10.75"," 0.00","51",
"106/01/20","213,002","2,272,420","10.75","10.75","10.60","10.70","-0.05","59",
"106/01/23","152,010","1,620,454","10.65","10.75","10.60","10.75","+0.05","53",
"106/01/24","205,000","2,187,350","10.75","10.75","10.60","10.70","-0.05","58",
