106年01月 1225福懋油          各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","22,349","1,070,728","47.65","48.30","47.65","48.10","+0.10","18",
"106/01/04","28,108","1,345,400","47.30","48.00","47.30","48.00","-0.10","21",
"106/01/05","34,140","1,637,655","47.65","48.15","47.65","48.15","+0.15","24",
"106/01/06","9,227","442,534","48.00","48.00","47.70","48.00","-0.15","13",
"106/01/09","33,003","1,574,294","47.05","48.05","47.05","48.05","+0.05","23",
"106/01/10","32,001","1,530,548","46.75","48.00","46.70","48.00","-0.05","19",
"106/01/11","22,196","1,063,268","48.00","48.00","47.60","47.60","-0.40","22",
"106/01/12","48,134","2,310,040","48.00","48.05","47.95","48.00","+0.40","21",
"106/01/13","29,786","1,427,541","48.00","48.00","47.50","48.00"," 0.00","20",
"106/01/16","20,142","962,928","47.40","48.00","47.40","47.65","-0.35","19",
"106/01/17","15,806","756,041","48.00","48.00","47.60","47.60","-0.05","15",
"106/01/18","55,458","2,660,310","47.90","48.05","47.55","47.60"," 0.00","55",
"106/01/19","33,988","1,628,880","47.05","48.05","47.05","47.65","+0.05","20",
"106/01/20","19,381","928,019","47.65","48.00","47.65","48.00","+0.35","17",
"106/01/23","11,223","538,633","48.00","48.00","48.00","48.00"," 0.00","13",
"106/01/24","71","3,347","0.00","0.00","0.00","0.00"," 0.00","2",
