106年01月 1227佳格            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","145,084","11,052,189","76.00","76.50","76.00","76.20","-0.40","152",
"106/01/04","252,582","19,264,494","76.50","76.60","76.10","76.30","+0.10","240",
"106/01/05","422,553","32,297,538","76.30","76.70","76.30","76.50","+0.20","373",
"106/01/06","460,275","35,242,558","76.40","76.80","76.30","76.70","+0.20","400",
"106/01/09","489,593","37,227,168","76.70","76.80","75.70","75.80","-0.90","398",
"106/01/10","756,319","57,007,611","75.90","75.90","75.20","75.30","-0.50","450",
"106/01/11","414,103","31,508,159","76.00","76.40","75.40","76.40","+1.10","395",
"106/01/12","555,850","42,435,433","76.40","76.50","76.20","76.40"," 0.00","470",
"106/01/13","371,598","28,273,462","76.40","76.40","75.90","76.40"," 0.00","340",
"106/01/16","456,680","34,567,971","76.30","76.30","75.40","75.60","-0.80","418",
"106/01/17","611,892","46,271,910","75.70","75.80","75.50","75.60"," 0.00","414",
"106/01/18","864,205","65,137,471","75.60","75.60","75.20","75.40","-0.20","582",
"106/01/19","1,049,470","79,363,839","75.60","76.00","75.30","75.90","+0.50","443",
"106/01/20","549,644","41,481,516","75.70","75.70","75.30","75.40","-0.50","403",
"106/01/23","538,596","41,070,562","75.90","76.50","75.70","76.30","+0.90","480",
"106/01/24","845,346","64,807,121","76.60","76.90","76.30","76.80","+0.50","664",
