106年01月 1229聯華            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","525,061","11,587,637","22.05","22.15","22.00","22.10","+0.05","303",
"106/01/04","543,909","12,016,830","22.10","22.15","22.05","22.10"," 0.00","283",
"106/01/05","1,220,739","27,083,346","22.10","22.30","22.10","22.20","+0.10","471",
"106/01/06","678,566","15,068,156","22.20","22.30","22.10","22.15","-0.05","331",
"106/01/09","513,283","11,371,502","22.15","22.20","22.10","22.15"," 0.00","249",
"106/01/10","816,376","18,188,660","22.20","22.45","22.10","22.45","+0.30","403",
"106/01/11","1,162,259","26,185,272","22.40","22.70","22.30","22.60","+0.15","518",
"106/01/12","850,803","19,234,845","22.60","22.65","22.50","22.65","+0.05","405",
"106/01/13","338,282","7,636,343","22.65","22.65","22.50","22.60","-0.05","210",
"106/01/16","702,965","15,716,010","22.60","22.60","22.25","22.35","-0.25","340",
"106/01/17","259,122","5,802,276","22.35","22.50","22.25","22.50","+0.15","186",
"106/01/18","768,273","17,276,914","22.50","22.60","22.30","22.50"," 0.00","473",
"106/01/19","918,903","20,801,758","22.45","22.75","22.40","22.60","+0.10","337",
"106/01/20","1,147,952","26,170,499","22.60","22.90","22.60","22.80","+0.20","517",
"106/01/23","2,097,956","48,381,988","22.80","23.25","22.75","23.15","+0.35","813",
"106/01/24","3,030,289","71,181,407","23.20","23.70","23.20","23.40","+0.25","1,032",
