106年01月 1232大統益          各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","17,396","1,466,799","84.50","84.50","84.10","84.30","+0.20","23",
"106/01/04","14,272","1,205,827","84.30","84.50","84.30","84.50","+0.20","20",
"106/01/05","33,132","2,807,171","84.50","84.90","84.40","84.70","+0.20","29",
"106/01/06","16,105","1,365,008","84.70","84.90","84.60","84.90","+0.20","21",
"106/01/09","37,311","3,176,646","85.00","85.50","84.90","84.90"," 0.00","32",
"106/01/10","12,390","1,050,382","84.80","84.90","84.60","84.60","-0.30","17",
"106/01/11","14,100","1,193,339","85.00","85.00","84.30","84.60"," 0.00","11",
"106/01/12","35,067","2,964,974","84.60","84.60","84.50","84.60"," 0.00","29",
"106/01/13","6,100","517,869","85.40","85.40","84.70","84.80","+0.20","6",
"106/01/16","21,134","1,794,824","84.60","85.90","84.60","85.10","+0.30","24",
"106/01/17","18,319","1,556,534","85.40","85.40","84.60","85.00","-0.10","23",
"106/01/18","34,116","2,896,164","85.40","85.40","84.60","85.10","+0.10","31",
"106/01/19","22,012","1,863,930","84.60","85.20","84.60","84.70","-0.40","23",
"106/01/20","16,467","1,393,827","85.20","85.20","84.40","84.50","-0.20","21",
"106/01/23","32,832","2,787,849","84.70","85.40","84.50","85.00","+0.50","40",
"106/01/24","51,289","4,361,209","85.00","85.20","85.00","85.00"," 0.00","44",
