106年01月 1234黑松            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","101,525","3,265,402","32.30","32.30","32.05","32.10","-0.20","72",
"106/01/04","22,378","721,251","32.30","32.30","32.15","32.15","+0.05","23",
"106/01/05","82,364","2,646,948","32.15","32.20","32.10","32.10","-0.05","92",
"106/01/06","88,890","2,862,006","32.20","32.40","32.10","32.10"," 0.00","75",
"106/01/09","108,250","3,476,772","32.30","32.30","32.05","32.25","+0.15","82",
"106/01/10","60,417","1,941,434","32.25","32.25","32.10","32.10","-0.15","52",
"106/01/11","100,094","3,214,358","32.10","32.20","32.10","32.15","+0.05","70",
"106/01/12","66,509","2,139,835","32.30","32.30","32.10","32.15"," 0.00","55",
"106/01/13","156,520","5,025,416","32.10","32.20","32.05","32.20","+0.05","68",
"106/01/16","55,008","1,769,956","32.20","32.30","32.10","32.30","+0.10","40",
"106/01/17","22,860","736,746","32.30","32.30","32.15","32.30"," 0.00","33",
"106/01/18","43,350","1,397,101","32.30","32.30","32.10","32.30"," 0.00","51",
"106/01/19","44,677","1,442,612","32.30","32.30","32.25","32.30"," 0.00","36",
"106/01/20","41,750","1,347,747","32.30","32.30","32.20","32.25","-0.05","37",
"106/01/23","74,279","2,393,903","32.25","32.30","32.15","32.20","-0.05","68",
"106/01/24","93,107","3,000,742","32.20","32.30","32.15","32.30","+0.10","47",
