106年01月 1235興泰            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","36,200","1,068,230","29.40","29.55","29.40","29.45","-0.10","24",
"106/01/04","47,160","1,387,896","29.50","29.50","29.40","29.45"," 0.00","25",
"106/01/05","56,075","1,657,957","29.50","29.70","29.50","29.50","+0.05","35",
"106/01/06","112,999","3,381,720","29.75","30.50","29.65","30.00","+0.50","85",
"106/01/09","80,420","2,418,400","30.40","30.40","29.80","30.10","+0.10","52",
"106/01/10","47,000","1,405,250","29.75","30.00","29.75","29.90","-0.20","26",
"106/01/11","98,836","2,943,378","30.10","30.10","29.60","29.85","-0.05","40",
"106/01/12","81,999","2,455,220","30.00","30.10","29.85","29.95","+0.10","33",
"106/01/13","132,999","3,987,220","30.00","30.10","29.90","29.95"," 0.00","50",
"106/01/16","33,352","1,002,292","30.30","30.30","29.90","30.00","+0.05","20",
"106/01/17","40,008","1,192,088","30.00","30.00","29.65","30.00"," 0.00","25",
"106/01/18","25,066","749,616","29.95","30.00","29.75","30.00"," 0.00","23",
"106/01/19","53,404","1,597,698","30.20","30.20","29.70","29.95","-0.05","27",
"106/01/20","76,000","2,278,450","30.10","30.10","29.90","29.95"," 0.00","25",
"106/01/23","152,401","4,573,609","30.00","30.10","29.85","30.00","+0.05","38",
"106/01/24","52,060","1,567,443","30.00","30.20","29.95","30.10","+0.10","42",
