106年01月 1256鮮活果汁-KY     各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","17,000","2,077,500","122.50","122.50","122.00","122.50"," 0.00","15",
"106/01/04","18,000","2,225,500","122.50","125.00","122.50","124.50","+2.00","16",
"106/01/05","32,000","4,018,000","125.50","126.50","124.50","124.50"," 0.00","31",
"106/01/06","17,100","2,119,100","125.00","125.50","123.00","125.00","+0.50","18",
"106/01/09","9,001","1,121,126","125.00","125.00","123.50","125.00"," 0.00","8",
"106/01/10","10,047","1,258,422","125.50","125.50","125.00","125.00"," 0.00","11",
"106/01/11","15,100","1,880,500","125.50","125.50","123.00","125.00"," 0.00","16",
"106/01/12","37,400","4,750,700","125.00","129.50","125.00","125.00"," 0.00","34",
"106/01/13","6,000","755,500","126.00","126.50","125.00","126.00","+1.00","4",
"106/01/16","7,000","873,500","125.00","125.00","124.50","125.00","-1.00","7",
"106/01/17","19,100","2,400,150","125.00","127.00","124.50","126.50","+1.50","17",
"106/01/18","16,000","2,028,000","127.50","127.50","125.50","126.50"," 0.00","14",
"106/01/19","6,099","765,974","126.00","126.00","125.00","125.00","-1.50","8",
"106/01/20","18,905","2,381,125","127.00","127.00","125.00","125.00"," 0.00","18",
"106/01/23","4,234","532,601","125.50","126.50","125.50","126.50","+1.50","6",
"106/01/24","11,000","1,386,500","127.50","127.50","125.00","125.50","-1.00","7",
