106年01月 1262綠悅-KY         各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","266,000","38,479,000","145.50","146.00","143.50","145.50"," 0.00","200",
"106/01/04","184,100","26,716,050","145.50","146.00","144.50","145.00","-0.50","146",
"106/01/05","879,000","129,632,500","145.00","148.50","145.00","147.50","+2.50","609",
"106/01/06","293,200","43,098,300","148.00","148.50","145.50","146.50","-1.00","213",
"106/01/09","607,427","87,014,773","146.50","146.50","141.50","143.50","-3.00","463",
"106/01/10","1,834,693","274,758,098","149.00","151.50","148.00","150.00","+6.50","1,341",
"106/01/11","632,427","95,384,477","151.00","152.00","149.00","152.00","+2.00","468",
"106/01/12","612,317","92,872,184","152.50","152.50","150.50","152.50","+0.50","499",
"106/01/13","273,131","41,613,608","152.50","153.00","151.50","152.50"," 0.00","205",
"106/01/16","527,012","79,337,306","152.50","152.50","149.50","150.00","-2.50","469",
"106/01/17","436,088","65,086,568","149.50","150.50","148.50","149.00","-1.00","385",
"106/01/18","1,146,917","175,532,801","150.00","154.50","150.00","154.00","+5.00","850",
"106/01/19","1,046,495","163,188,487","156.00","159.50","153.00","153.00","-1.00","744",
"106/01/20","457,760","70,107,020","153.50","154.00","152.50","152.50","-0.50","322",
"106/01/23","412,140","63,187,490","154.00","154.00","153.00","153.50","+1.00","283",
"106/01/24","207,000","31,707,000","153.50","153.50","152.50","153.00","-0.50","166",
