106年01月 1301台塑            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","4,769,484","427,671,040","88.60","90.20","88.40","90.10","+0.90","2,472",
"106/01/04","5,752,225","518,617,003","90.10","90.40","89.60","90.30","+0.20","2,534",
"106/01/05","6,506,635","587,405,560","90.30","90.60","89.70","90.40","+0.10","2,778",
"106/01/06","5,939,416","536,778,830","90.00","90.60","90.00","90.50","+0.10","2,452",
"106/01/09","3,018,741","272,454,996","90.20","90.50","90.10","90.20","-0.30","1,576",
"106/01/10","6,069,689","544,130,066","90.00","90.20","89.40","89.50","-0.70","3,175",
"106/01/11","3,784,137","338,967,993","89.80","90.00","89.10","89.30","-0.20","2,545",
"106/01/12","7,967,479","724,232,367","90.00","91.30","89.90","90.80","+1.50","3,600",
"106/01/13","4,466,719","404,433,853","90.70","91.00","90.30","91.00","+0.20","2,437",
"106/01/16","2,958,102","264,965,994","90.50","90.80","89.00","89.40","-1.60","1,785",
"106/01/17","3,937,938","354,476,529","89.40","90.20","89.30","90.00","+0.60","2,184",
"106/01/18","8,215,235","723,621,059","89.10","89.30","87.00","87.60","-2.40","4,591",
"106/01/19","5,048,483","441,548,029","87.20","88.00","86.50","88.00","+0.40","2,882",
"106/01/20","3,331,521","294,741,029","88.00","88.80","87.80","88.50","+0.50","1,681",
"106/01/23","6,537,386","587,060,343","89.00","90.00","89.00","89.70","+1.20","2,964",
"106/01/24","7,537,728","678,185,500","89.50","90.40","88.50","90.20","+0.50","3,176",
