106年01月 1303南亞            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","4,513,029","321,323,934","71.60","71.60","70.80","71.20"," 0.00","1,562",
"106/01/04","7,402,578","527,746,658","71.50","71.80","70.70","71.70","+0.50","2,923",
"106/01/05","14,448,119","1,054,405,687","71.70","73.60","71.60","73.40","+1.70","5,899",
"106/01/06","8,533,122","626,850,591","73.30","73.60","73.10","73.40"," 0.00","3,100",
"106/01/09","8,876,775","655,782,837","73.50","74.50","73.50","73.80","+0.40","3,190",
"106/01/10","9,636,403","710,749,234","74.30","74.40","72.90","73.10","-0.70","3,274",
"106/01/11","5,733,170","416,417,195","73.30","73.40","72.20","72.40","-0.70","2,605",
"106/01/12","11,680,502","858,996,318","72.90","74.00","72.80","73.40","+1.00","6,204",
"106/01/13","9,469,634","692,102,082","73.50","74.10","72.90","73.40"," 0.00","3,599",
"106/01/16","4,296,850","312,693,214","73.10","73.40","72.40","72.70","-0.70","2,111",
"106/01/17","5,105,226","372,482,912","72.70","73.30","72.60","73.00","+0.30","1,748",
"106/01/18","9,670,215","704,779,690","72.50","73.60","72.20","73.60","+0.60","3,382",
"106/01/19","5,968,874","433,923,655","73.10","73.30","72.20","72.40","-1.20","2,727",
"106/01/20","6,321,876","459,752,310","72.30","73.60","72.30","72.40"," 0.00","2,910",
"106/01/23","8,891,273","654,323,458","72.90","74.00","72.90","73.50","+1.10","3,693",
"106/01/24","5,897,597","433,570,838","73.70","73.90","73.20","73.50"," 0.00","2,566",
