106年01月 1304台聚            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","2,131,000","34,114,092","16.00","16.10","15.85","16.10","+0.25","740",
"106/01/04","2,079,704","33,510,677","16.15","16.20","16.00","16.15","+0.05","812",
"106/01/05","1,938,783","31,115,178","16.15","16.15","16.00","16.00","-0.15","525",
"106/01/06","1,486,565","23,704,308","16.00","16.05","15.90","15.95","-0.05","536",
"106/01/09","1,845,391","29,112,059","15.95","16.00","15.60","15.65","-0.30","650",
"106/01/10","2,057,508","32,381,910","15.70","15.85","15.65","15.85","+0.20","1,072",
"106/01/11","1,918,409","30,549,151","15.90","16.00","15.80","15.85"," 0.00","626",
"106/01/12","1,760,672","28,038,342","15.90","16.00","15.80","15.90","+0.05","696",
"106/01/13","1,782,441","28,108,858","15.95","15.95","15.70","15.80","-0.10","908",
"106/01/16","2,245,546","34,951,278","15.75","15.80","15.45","15.45","-0.35","885",
"106/01/17","1,913,779","29,695,452","15.45","15.65","15.35","15.60","+0.15","739",
"106/01/18","1,759,562","27,522,992","15.50","15.80","15.45","15.75","+0.15","848",
"106/01/19","1,547,074","24,159,741","15.70","15.70","15.50","15.60","-0.15","646",
"106/01/20","1,810,229","28,309,597","15.55","15.70","15.55","15.60"," 0.00","784",
"106/01/23","986,368","15,508,763","15.65","15.80","15.60","15.75","+0.15","501",
"106/01/24","3,310,005","52,536,763","15.75","16.00","15.70","15.95","+0.20","1,170",
