106年01月 1305華夏            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","1,290,444","30,866,259","23.90","24.10","23.80","23.90","-0.05","873",
"106/01/04","3,965,152","97,017,556","24.10","24.75","24.05","24.55","+0.65","1,988",
"106/01/05","3,093,824","75,741,880","24.50","24.75","24.20","24.25","-0.30","1,801",
"106/01/06","1,766,201","42,913,016","24.30","24.50","24.10","24.30","+0.05","1,120",
"106/01/09","4,447,593","104,345,146","24.00","24.05","23.10","23.20","-1.10","2,102",
"106/01/10","3,222,140","74,922,081","22.95","23.50","22.90","23.20"," 0.00","1,717",
"106/01/11","2,287,495","53,363,346","23.45","23.45","23.05","23.45","+0.25","1,172",
"106/01/12","2,831,901","66,864,895","23.45","23.80","23.25","23.80","+0.35","1,263",
"106/01/13","2,918,233","69,831,792","23.80","24.20","23.40","24.15","+0.35","1,420",
"106/01/16","3,824,120","93,004,291","24.10","24.60","23.90","24.35","+0.20","1,890",
"106/01/17","5,045,000","124,871,226","24.45","25.40","23.95","24.95","+0.60","2,001",
"106/01/18","3,560,868","86,825,950","24.70","24.70","24.20","24.20","-0.75","1,819",
"106/01/19","1,980,460","47,620,691","24.55","24.55","23.75","23.80","-0.40","1,048",
"106/01/20","1,524,120","36,324,495","23.80","24.10","23.60","23.90","+0.10","973",
"106/01/23","1,505,436","36,029,816","23.90","24.10","23.75","23.90"," 0.00","824",
"106/01/24","2,251,169","54,078,568","24.00","24.20","23.80","24.10","+0.20","1,081",
