106年01月 1308亞聚            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","499,233","9,517,731","19.10","19.15","19.00","19.15","+0.10","313",
"106/01/04","664,626","12,661,467","19.20","19.20","18.95","19.05","-0.10","370",
"106/01/05","522,662","9,944,873","19.10","19.15","18.95","18.95","-0.10","278",
"106/01/06","1,085,096","20,671,570","18.95","19.15","18.95","19.15","+0.20","339",
"106/01/09","559,909","10,617,321","19.15","19.15","18.85","18.85","-0.30","282",
"106/01/10","2,496,909","48,549,824","19.30","19.65","19.30","19.50","+0.65","1,043",
"106/01/11","1,050,950","20,539,617","19.60","19.65","19.50","19.50"," 0.00","558",
"106/01/12","1,197,545","23,457,645","19.55","19.65","19.50","19.65","+0.15","652",
"106/01/13","740,453","14,438,324","19.60","19.60","19.40","19.55","-0.10","439",
"106/01/16","673,140","12,933,461","19.55","19.55","19.05","19.05","-0.50","343",
"106/01/17","509,970","9,772,018","19.05","19.25","19.05","19.25","+0.20","246",
"106/01/18","504,411","9,721,676","19.25","19.45","19.10","19.40","+0.15","293",
"106/01/19","561,596","10,768,857","19.30","19.30","19.10","19.15","-0.25","236",
"106/01/20","243,853","4,678,322","19.10","19.25","19.10","19.20","+0.05","128",
"106/01/23","488,807","9,461,382","19.25","19.50","19.25","19.25","+0.05","211",
"106/01/24","541,481","10,478,073","19.25","19.45","19.25","19.35","+0.10","308",
