106年01月 1309台達化          各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","1,057,793","11,017,843","10.55","10.60","10.25","10.45"," 0.00","422",
"106/01/04","1,788,188","19,291,318","10.35","11.30","10.35","11.10","+0.65","535",
"106/01/05","2,683,676","29,391,935","11.00","11.10","10.85","10.85","-0.25","760",
"106/01/06","1,760,061","19,285,308","11.00","11.15","10.85","10.95","+0.10","598",
"106/01/09","937,853","10,064,833","11.00","11.00","10.60","10.65","-0.30","352",
"106/01/10","582,703","6,203,610","10.65","10.80","10.55","10.55","-0.10","253",
"106/01/11","1,182,271","12,531,565","10.60","10.75","10.45","10.70","+0.15","298",
"106/01/12","1,360,286","14,732,883","10.80","11.05","10.70","10.80","+0.10","408",
"106/01/13","1,245,806","13,433,796","10.75","10.95","10.60","10.85","+0.05","379",
"106/01/16","672,345","7,133,185","10.85","10.90","10.50","10.55","-0.30","293",
"106/01/17","3,341,154","36,315,694","10.50","11.25","10.50","11.00","+0.45","947",
"106/01/18","2,723,723","29,800,706","11.05","11.10","10.80","11.00"," 0.00","851",
"106/01/19","1,703,603","18,529,007","10.95","11.00","10.80","10.85","-0.15","439",
"106/01/20","15,132,478","173,848,837","10.95","11.90","10.90","11.70","+0.85","3,421",
"106/01/23","9,329,846","110,933,557","11.80","12.50","11.55","11.95","+0.25","2,438",
"106/01/24","6,765,097","78,654,977","11.95","11.95","11.30","11.75","-0.20","1,662",
