106年01月 1310台苯            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","3,123,358","61,762,810","19.95","19.95","19.65","19.75","-0.20","993",
"106/01/04","2,751,615","54,666,368","19.80","19.95","19.75","19.90","+0.15","1,217",
"106/01/05","2,945,881","58,630,204","19.95","20.00","19.70","20.00","+0.10","1,142",
"106/01/06","5,151,289","102,789,513","20.00","20.20","19.80","19.80","-0.20","1,748",
"106/01/09","3,338,270","65,766,953","19.85","19.95","19.55","19.60","-0.20","1,482",
"106/01/10","4,129,477","82,177,302","19.80","20.00","19.75","19.80","+0.20","1,418",
"106/01/11","3,263,364","64,663,443","19.85","19.90","19.70","19.85","+0.05","1,004",
"106/01/12","2,625,939","52,182,527","19.90","20.00","19.80","19.90","+0.05","1,017",
"106/01/13","2,224,851","44,136,294","19.90","19.90","19.75","19.90"," 0.00","665",
"106/01/16","6,967,092","136,144,871","19.90","19.90","19.35","19.40","-0.50","2,114",
"106/01/17","12,397,144","250,064,175","19.50","20.75","19.50","20.60","+1.20","3,924",
"106/01/18","9,277,354","190,434,641","20.80","20.80","20.35","20.60"," 0.00","2,763",
"106/01/19","4,235,342","86,436,279","20.50","20.60","20.30","20.40","-0.20","1,459",
"106/01/20","4,392,189","89,945,873","20.40","20.60","20.30","20.40"," 0.00","1,573",
"106/01/23","5,091,478","104,472,212","20.40","20.75","20.35","20.45","+0.05","1,676",
"106/01/24","6,509,500","133,502,003","20.45","20.70","20.30","20.65","+0.20","1,850",
