106年01月 1313聯成            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","1,769,244","22,221,906","12.50","12.70","12.40","12.65","+0.15","698",
"106/01/04","1,336,951","16,993,621","12.65","12.80","12.60","12.75","+0.10","650",
"106/01/05","1,620,316","20,669,124","12.75","12.85","12.65","12.75"," 0.00","603",
"106/01/06","1,430,996","18,290,493","12.75","12.85","12.70","12.85","+0.10","657",
"106/01/09","1,705,802","21,496,129","12.85","12.90","12.45","12.45","-0.40","484",
"106/01/10","1,903,146","23,965,748","12.50","12.80","12.40","12.75","+0.30","748",
"106/01/11","1,845,553","23,623,116","12.80","12.90","12.70","12.80","+0.05","612",
"106/01/12","1,561,022","20,040,425","12.80","12.95","12.75","12.80"," 0.00","743",
"106/01/13","1,248,826","15,965,871","12.85","12.90","12.70","12.80"," 0.00","599",
"106/01/16","1,734,484","21,758,469","12.70","12.75","12.45","12.50","-0.30","625",
"106/01/17","2,101,037","26,561,664","12.50","12.75","12.50","12.70","+0.20","695",
"106/01/18","1,014,908","12,864,330","12.75","12.75","12.55","12.70"," 0.00","520",
"106/01/19","1,451,592","18,505,991","12.80","12.90","12.60","12.85","+0.15","578",
"106/01/20","3,540,237","46,024,346","12.90","13.15","12.85","12.95","+0.10","986",
"106/01/23","4,409,097","58,185,766","13.05","13.35","13.00","13.20","+0.25","1,142",
"106/01/24","8,182,638","110,169,273","13.20","13.65","13.15","13.40","+0.20","2,112",
