106年01月 1314中石化          各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","15,464,912","155,893,700","9.99","10.20","9.95","10.05","+0.15","3,176",
"106/01/04","8,899,806","89,243,940","10.15","10.15","9.99","10.00","-0.05","2,021",
"106/01/05","30,300,067","306,833,670","10.10","10.25","10.00","10.05","+0.05","4,347",
"106/01/06","7,755,654","78,067,600","10.10","10.15","10.00","10.05"," 0.00","1,516",
"106/01/09","19,630,154","198,440,540","10.10","10.25","10.00","10.05"," 0.00","2,797",
"106/01/10","16,791,825","170,129,360","10.10","10.20","10.00","10.10","+0.05","2,975",
"106/01/11","12,351,473","125,431,061","10.15","10.25","10.10","10.15","+0.05","2,179",
"106/01/12","33,124,336","341,543,465","10.20","10.45","10.15","10.25","+0.10","4,937",
"106/01/13","11,400,656","116,669,973","10.30","10.30","10.15","10.20","-0.05","1,971",
"106/01/16","17,842,327","179,241,980","10.20","10.25","9.99","10.00","-0.20","2,591",
"106/01/17","9,349,091","94,507,250","10.00","10.20","10.00","10.10","+0.10","2,225",
"106/01/18","10,041,045","101,549,983","10.15","10.20","10.05","10.10"," 0.00","2,233",
"106/01/19","8,693,139","87,668,381","10.10","10.15","10.05","10.05","-0.05","1,717",
"106/01/20","45,669,809","469,913,650","10.05","10.40","10.05","10.35","+0.30","6,017",
"106/01/23","27,919,555","290,245,043","10.35","10.50","10.30","10.40","+0.05","4,151",
"106/01/24","123,289,315","1,364,598,351","10.40","11.35","10.40","11.20","+0.80","18,754",
