106年01月 1315達新            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","11,004","275,500","24.90","25.10","24.90","25.10","-0.35","7",
"106/01/04","11,100","278,210","25.00","25.20","25.00","25.20","+0.10","4",
"106/01/05","19,000","478,100","25.40","25.40","25.05","25.20"," 0.00","11",
"106/01/06","25,502","640,900","25.10","25.15","25.10","25.15","-0.05","14",
"106/01/09","19,300","484,350","25.05","25.15","25.05","25.05","-0.10","12",
"106/01/10","37,803","946,025","25.00","25.15","24.95","25.10","+0.05","14",
"106/01/11","23,009","578,475","25.10","25.20","25.10","25.20","+0.10","8",
"106/01/12","53,242","1,333,835","25.10","25.15","25.00","25.15","-0.05","24",
"106/01/13","15,001","376,175","25.00","25.10","25.00","25.10","-0.05","6",
"106/01/16","34,800","871,816","25.10","25.10","25.00","25.10"," 0.00","15",
"106/01/17","19,719","494,175","25.00","25.20","25.00","25.20","+0.10","14",
"106/01/18","83,001","2,092,975","25.10","25.35","25.00","25.35","+0.15","47",
"106/01/19","23,800","603,499","25.35","25.40","25.35","25.40","+0.05","13",
"106/01/20","36,700","929,539","25.40","25.40","25.30","25.30","-0.10","13",
"106/01/23","35,292","888,877","25.10","25.30","25.10","25.30"," 0.00","25",
"106/01/24","50,003","1,272,775","25.30","25.75","25.20","25.75","+0.45","33",
