106年01月 1319東陽            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","1,720,848","108,967,305","63.70","63.90","62.90","63.00","-0.50","999",
"106/01/04","1,532,970","96,280,326","63.00","63.50","62.40","62.60","-0.40","1,016",
"106/01/05","1,964,608","123,263,055","62.60","63.20","62.10","62.70","+0.10","1,074",
"106/01/06","2,745,000","173,776,897","63.00","63.70","62.80","63.50","+0.80","1,534",
"106/01/09","1,837,897","114,785,190","63.40","63.80","61.80","62.20","-1.30","1,190",
"106/01/10","5,377,600","326,041,360","62.00","62.00","59.90","60.10","-2.10","3,019",
"106/01/11","9,112,762","530,415,403","60.30","60.80","56.80","56.90","-3.20","4,713",
"106/01/12","6,688,604","384,922,661","57.10","58.50","56.00","57.90","+1.00","4,172",
"106/01/13","5,243,489","299,697,326","58.00","58.60","56.30","56.50","-1.40","3,004",
"106/01/16","2,385,576","135,697,069","57.10","57.20","56.40","56.90","+0.40","1,355",
"106/01/17","7,477,342","438,230,902","57.40","59.30","57.20","58.80","+1.90","3,939",
"106/01/18","5,857,670","343,706,956","58.70","59.40","57.70","58.10","-0.70","3,466",
"106/01/19","3,219,248","188,640,240","58.30","58.90","58.10","58.30","+0.20","1,912",
"106/01/20","3,454,064","200,000,701","58.20","58.30","57.40","57.90","-0.40","2,171",
"106/01/23","4,333,667","248,181,016","58.40","58.50","56.60","56.90","-1.00","2,725",
"106/01/24","2,452,553","140,493,245","57.00","57.60","56.90","57.60","+0.70","1,656",
