106年01月 1321大洋            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","68,000","1,670,650","24.55","24.60","24.50","24.60","-0.15","40",
"106/01/04","113,000","2,771,450","24.55","24.70","24.45","24.65","+0.05","42",
"106/01/05","32,049","791,655","24.70","24.75","24.55","24.75","+0.10","22",
"106/01/06","74,040","1,829,638","24.65","24.80","24.60","24.80","+0.05","41",
"106/01/09","31,000","767,050","24.75","24.80","24.70","24.80"," 0.00","17",
"106/01/10","43,000","1,057,850","24.55","24.75","24.50","24.75","-0.05","26",
"106/01/11","13,003","319,573","24.75","24.75","24.45","24.65","-0.10","10",
"106/01/12","29,000","713,850","24.65","24.75","24.50","24.65"," 0.00","19",
"106/01/13","44,000","1,082,450","24.60","24.70","24.50","24.70","+0.05","29",
"106/01/16","17,000","417,250","24.65","24.65","24.50","24.60","-0.10","15",
"106/01/17","38,000","942,600","24.60","25.10","24.50","24.85","+0.25","30",
"106/01/18","113,000","2,814,850","24.70","25.10","24.70","25.00","+0.15","77",
"106/01/19","66,000","1,646,600","24.85","25.05","24.65","25.05","+0.05","38",
"106/01/20","105,000","2,632,450","24.85","25.15","24.85","25.05"," 0.00","64",
"106/01/23","535,200","13,942,510","25.25","26.75","25.25","26.00","+0.95","293",
"106/01/24","188,000","4,911,150","25.80","26.30","25.80","26.10","+0.10","124",
