106年01月 1324地球            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","6,008","78,104","12.95","13.10","12.95","13.10","+0.05","10",
"106/01/04","28,576","374,795","13.05","13.30","13.00","13.25","+0.15","19",
"106/01/05","16,021","210,373","13.40","13.40","13.05","13.15","-0.10","33",
"106/01/06","9,010","117,730","13.15","13.15","13.00","13.15"," 0.00","13",
"106/01/09","18,003","237,789","13.15","13.30","13.15","13.20","+0.05","12",
"106/01/10","24,051","314,617","13.05","13.20","13.05","13.20"," 0.00","12",
"106/01/11","14,001","184,513","13.35","13.35","13.10","13.25","+0.05","12",
"106/01/12","120,003","1,553,039","13.10","13.10","12.80","12.95","-0.30","43",
"106/01/13","105,002","1,361,276","12.95","13.10","12.95","13.00","+0.05","33",
"106/01/16","29,015","376,897","13.00","13.10","12.95","13.10","+0.10","17",
"106/01/17","2","26","0.00","0.00","0.00","0.00"," 0.00","2",
"106/01/18","7,196","94,248","13.05","13.15","13.05","13.15","X0.00","10",
"106/01/19","5,001","65,763","13.15","13.15","13.15","13.15"," 0.00","4",
"106/01/20","16,003","209,139","13.00","13.15","13.00","13.15"," 0.00","16",
"106/01/23","21,013","274,820","13.00","13.20","12.95","13.20","+0.05","20",
"106/01/24","11,010","144,580","13.15","13.15","13.05","13.15","-0.05","13",
