106年01月 1325恆大            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","52,644","1,106,608","21.05","21.05","21.00","21.05"," 0.00","18",
"106/01/04","215,451","4,487,821","21.00","21.10","20.70","21.10","+0.05","56",
"106/01/05","23,400","492,318","21.10","21.10","21.00","21.10"," 0.00","22",
"106/01/06","18,931","398,057","21.00","21.10","21.00","21.10"," 0.00","11",
"106/01/09","17,650","370,950","21.05","21.10","21.00","21.10"," 0.00","10",
"106/01/10","12,500","262,575","21.00","21.05","21.00","21.05","-0.05","7",
"106/01/11","64,750","1,360,150","20.95","21.05","20.95","21.05"," 0.00","18",
"106/01/12","26,600","556,959","21.00","21.00","20.90","21.00","-0.05","20",
"106/01/13","16,970","355,726","20.95","21.00","20.95","21.00"," 0.00","10",
"106/01/16","13,500","282,850","20.90","21.05","20.90","21.00"," 0.00","12",
"106/01/17","4,610","96,286","20.90","21.00","20.90","21.00"," 0.00","8",
"106/01/18","30,061","632,218","21.10","21.10","21.00","21.00"," 0.00","19",
"106/01/19","49,150","1,032,200","21.10","21.10","20.95","21.05","+0.05","45",
"106/01/20","45,034","943,293","21.05","21.05","20.90","21.05"," 0.00","43",
"106/01/23","13,150","275,691","21.00","21.05","20.90","21.05"," 0.00","13",
"106/01/24","35,419","743,899","20.95","21.10","20.90","21.10","+0.05","21",
