106年01月 1326台化            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","5,092,728","495,845,424","95.80","98.00","95.70","97.30","+1.00","2,548",
"106/01/04","3,577,580","348,231,833","97.30","97.70","96.90","97.20","-0.10","2,203",
"106/01/05","5,148,936","503,185,042","97.40","98.10","96.90","98.00","+0.80","2,802",
"106/01/06","4,697,146","456,894,562","97.60","98.00","96.80","97.70","-0.30","2,239",
"106/01/09","4,362,388","424,366,144","97.50","97.80","96.70","97.20","-0.50","1,870",
"106/01/10","8,445,914","804,116,484","95.00","95.60","94.80","95.60","-1.60","3,703",
"106/01/11","4,760,321","455,289,713","96.50","96.70","95.20","95.70","+0.10","1,950",
"106/01/12","8,764,504","854,726,824","96.20","98.00","95.70","98.00","+2.30","4,103",
"106/01/13","6,288,410","618,630,595","98.00","98.70","97.60","98.70","+0.70","3,194",
"106/01/16","3,512,093","342,166,421","98.30","98.30","96.80","97.50","-1.20","1,696",
"106/01/17","3,182,775","311,609,052","97.00","98.30","97.00","97.90","+0.40","1,202",
"106/01/18","12,706,803","1,204,566,080","96.40","96.60","92.40","94.40","-3.50","6,560",
"106/01/19","5,636,004","531,930,574","94.40","95.00","93.40","94.70","+0.30","3,090",
"106/01/20","4,267,079","408,006,235","94.90","96.10","93.70","96.00","+1.30","2,257",
"106/01/23","4,975,902","482,065,716","96.30","97.10","96.10","96.80","+0.80","2,576",
"106/01/24","3,421,097","331,404,853","96.90","97.00","96.20","96.80"," 0.00","2,010",
