106年01月 1337再生-KY         各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","604,183","10,575,195","17.60","17.65","17.40","17.50"," 0.00","295",
"106/01/04","4,565,293","81,853,558","17.50","18.20","17.50","17.85","+0.35","1,567",
"106/01/05","5,185,657","91,759,448","18.00","18.10","17.75","17.85"," 0.00","744",
"106/01/06","2,134,986","38,495,588","17.90","18.25","17.90","17.95","+0.10","854",
"106/01/09","1,922,294","34,177,865","17.95","18.05","17.60","17.60","-0.35","772",
"106/01/10","2,806,177","50,470,361","17.65","18.20","17.60","18.05","+0.45","1,155",
"106/01/11","1,251,051","22,422,534","18.10","18.10","17.80","17.95","-0.10","619",
"106/01/12","1,578,381","28,436,274","18.00","18.10","17.90","17.95"," 0.00","686",
"106/01/13","6,173,829","112,739,322","18.05","18.55","18.00","18.05","+0.10","2,038",
"106/01/16","1,867,585","33,188,129","18.05","18.05","17.60","17.60","-0.45","724",
"106/01/17","3,003,233","52,380,172","17.70","17.80","17.35","17.40","-0.20","1,032",
"106/01/18","1,414,568","24,928,236","17.35","17.80","17.35","17.70","+0.30","786",
"106/01/19","511,929","9,049,474","17.80","17.80","17.60","17.65","-0.05","277",
"106/01/20","1,630,002","28,533,773","17.65","17.80","17.35","17.40","-0.25","790",
"106/01/23","1,454,528","25,428,483","17.50","17.65","17.40","17.45","+0.05","602",
"106/01/24","1,055,035","18,394,453","17.50","17.55","17.35","17.40","-0.05","439",
