106年01月 1340勝悅-KY         各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","694,200","38,044,378","54.40","55.30","54.20","55.00","+0.60","309",
"106/01/04","1,089,999","60,958,044","55.00","56.90","54.80","56.20","+1.20","479",
"106/01/05","704,751","39,748,856","56.40","56.80","56.10","56.30","+0.10","225",
"106/01/06","886,230","50,220,726","56.30","56.90","56.20","56.20","-0.10","281",
"106/01/09","683,187","38,350,640","56.60","56.60","55.30","55.40","-0.80","275",
"106/01/10","243,360","13,449,026","55.70","55.70","54.90","55.10","-0.30","138",
"106/01/11","897,450","50,396,355","56.00","56.60","55.70","55.90","+0.80","390",
"106/01/12","636,720","35,822,820","56.70","56.70","56.00","56.30","+0.40","304",
"106/01/13","640,700","36,576,289","56.70","57.60","56.30","56.90","+0.60","389",
"106/01/16","238,200","13,445,360","57.10","57.10","56.10","56.10","-0.80","163",
"106/01/17","179,104","10,084,231","56.40","56.60","56.00","56.10"," 0.00","132",
"106/01/18","369,180","20,746,843","56.10","56.60","55.90","56.00","-0.10","215",
"106/01/19","807,371","45,666,310","56.00","57.10","56.00","56.50","+0.50","299",
"106/01/20","503,600","28,238,800","56.40","56.60","55.70","55.90","-0.60","181",
"106/01/23","276,460","15,404,974","56.30","56.40","55.50","55.60","-0.30","194",
"106/01/24","192,300","10,693,080","55.60","55.90","55.50","55.70","+0.10","126",
