106年01月 1402遠東新          各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","1,938,722","46,920,513","24.20","24.35","23.80","24.30","+0.10","1,047",
"106/01/04","2,999,406","72,651,525","24.10","24.35","24.05","24.25","-0.05","1,290",
"106/01/05","4,684,961","114,668,787","24.25","24.65","24.15","24.65","+0.40","1,933",
"106/01/06","3,325,213","82,192,980","24.60","24.85","24.30","24.75","+0.10","1,542",
"106/01/09","1,429,493","35,067,973","24.75","24.80","24.40","24.45","-0.30","805",
"106/01/10","3,565,614","87,786,263","24.55","24.75","24.45","24.65","+0.20","1,802",
"106/01/11","2,851,329","70,406,593","24.75","24.75","24.50","24.75","+0.10","1,555",
"106/01/12","8,227,387","206,033,789","24.85","25.25","24.80","25.05","+0.30","3,634",
"106/01/13","4,987,212","124,959,623","25.10","25.20","24.80","25.00","-0.05","2,639",
"106/01/16","2,184,328","54,025,023","24.90","24.90","24.65","24.80","-0.20","1,110",
"106/01/17","3,405,498","84,946,688","24.60","25.15","24.60","24.80"," 0.00","1,643",
"106/01/18","6,387,688","160,563,121","24.80","25.35","24.75","25.20","+0.40","2,973",
"106/01/19","4,913,136","123,566,854","25.10","25.30","24.90","25.25","+0.05","2,116",
"106/01/20","2,553,401","64,175,725","25.20","25.25","25.00","25.10","-0.15","942",
"106/01/23","8,950,132","229,372,872","25.10","26.00","25.05","25.90","+0.80","2,832",
"106/01/24","7,029,735","182,866,647","25.90","26.10","25.70","26.00","+0.10","2,512",
