106年01月 1409新纖            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","476,648","4,308,390","9.05","9.08","9.02","9.07","+0.02","242",
"106/01/04","597,033","5,415,092","9.10","9.10","9.01","9.10","+0.03","289",
"106/01/05","909,041","8,274,280","9.10","9.14","9.05","9.11","+0.01","238",
"106/01/06","650,912","5,932,073","9.13","9.14","9.09","9.11"," 0.00","268",
"106/01/09","498,754","4,542,487","9.11","9.17","9.05","9.09","-0.02","244",
"106/01/10","706,895","6,399,473","9.05","9.10","9.01","9.06","-0.03","265",
"106/01/11","1,803,771","16,624,665","9.12","9.26","9.12","9.22","+0.16","757",
"106/01/12","6,530,783","61,926,546","9.26","9.60","9.26","9.38","+0.16","2,011",
"106/01/13","1,421,102","13,359,398","9.40","9.48","9.34","9.37","-0.01","524",
"106/01/16","1,119,606","10,332,391","9.39","9.39","9.20","9.20","-0.17","448",
"106/01/17","875,618","8,085,559","9.21","9.29","9.20","9.29","+0.09","278",
"106/01/18","4,980,312","47,107,195","9.30","9.56","9.28","9.50","+0.21","1,448",
"106/01/19","1,069,005","10,050,705","9.50","9.50","9.35","9.38","-0.12","405",
"106/01/20","860,574","8,043,163","9.38","9.39","9.30","9.34","-0.04","332",
"106/01/23","1,460,143","13,688,595","9.42","9.44","9.31","9.41","+0.07","502",
"106/01/24","2,064,478","19,411,448","9.41","9.47","9.35","9.41"," 0.00","847",
