106年01月 1410南染            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","51,255","1,245,420","24.30","24.30","24.30","24.30","-0.15","12",
"106/01/04","5,313","128,812","24.20","24.30","24.20","24.30"," 0.00","11",
"106/01/05","8,859","215,257","24.20","24.45","24.20","24.40","+0.10","37",
"106/01/06","1,017","24,808","24.40","24.40","24.40","24.40"," 0.00","18",
"106/01/09","11,870","288,383","24.35","24.40","24.30","24.35","-0.05","18",
"106/01/10","6","144","0.00","0.00","0.00","0.00"," 0.00","5",
"106/01/11","6,004","145,196","24.25","24.30","24.10","24.30","X0.00","8",
"106/01/12","19,021","465,607","24.40","24.50","24.40","24.40","+0.10","21",
"106/01/13","143,647","3,519,809","24.40","24.60","24.40","24.60","+0.20","26",
"106/01/16","19,400","476,222","24.55","24.55","24.55","24.55","-0.05","28",
"106/01/17","16,188","396,139","24.50","24.50","24.40","24.40","-0.15","13",
"106/01/18","430,508","11,008,101","24.70","26.30","24.60","25.90","+1.50","168",
"106/01/19","105,928","2,706,975","25.90","26.00","25.30","25.50","-0.40","61",
"106/01/20","108,362","2,769,001","25.50","25.90","25.25","25.25","-0.25","54",
"106/01/23","389,803","10,120,070","25.40","26.20","25.40","26.00","+0.75","109",
"106/01/24","311,600","8,171,300","26.20","26.35","26.00","26.20","+0.20","110",
