106年01月 1413宏洲            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","103,600","567,763","5.59","5.59","5.45","5.55","-0.04","26",
"106/01/04","64,250","354,605","5.54","5.58","5.50","5.58","+0.03","17",
"106/01/05","30,158","168,268","5.57","5.63","5.50","5.60","+0.02","13",
"106/01/06","32,999","186,744","5.51","5.80","5.51","5.65","+0.05","16",
"106/01/09","36,072","203,038","5.54","5.69","5.54","5.65"," 0.00","17",
"106/01/10","61,003","338,035","5.58","5.64","5.50","5.64","-0.01","24",
"106/01/11","64,003","352,196","5.51","5.53","5.48","5.50","-0.14","21",
"106/01/12","55,183","304,446","5.51","5.62","5.50","5.57","+0.07","18",
"106/01/13","785","4,278","0.00","0.00","0.00","0.00"," 0.00","1",
"106/01/16","53,007","289,926","5.50","5.50","5.45","5.45","X0.00","14",
"106/01/17","79,870","434,022","5.48","5.48","5.40","5.47","+0.02","29",
"106/01/18","55,080","305,788","5.50","5.64","5.50","5.60","+0.13","37",
"106/01/19","43,507","244,982","5.60","5.65","5.58","5.65","+0.05","23",
"106/01/20","122,459","701,170","5.56","5.89","5.56","5.75","+0.10","49",
"106/01/23","31,268","179,090","5.75","5.84","5.66","5.68","-0.07","23",
"106/01/24","177,725","1,019,738","5.62","5.79","5.62","5.73","+0.05","58",
