106年01月 1414東和            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","86,699","526,020","6.09","6.10","6.02","6.08","-0.01","49",
"106/01/04","72,680","441,560","6.08","6.09","6.05","6.08"," 0.00","42",
"106/01/05","201,138","1,232,498","6.08","6.15","6.08","6.14","+0.06","81",
"106/01/06","111,635","685,683","6.15","6.15","6.12","6.14"," 0.00","36",
"106/01/09","176,604","1,079,137","6.15","6.15","6.08","6.09","-0.05","66",
"106/01/10","160,626","976,057","6.08","6.13","6.06","6.10","+0.01","38",
"106/01/11","116,133","707,631","6.10","6.12","6.08","6.10"," 0.00","47",
"106/01/12","157,513","961,178","6.12","6.13","6.07","6.11","+0.01","56",
"106/01/13","63,774","389,470","6.11","6.12","6.09","6.11"," 0.00","24",
"106/01/16","166,006","1,015,236","6.12","6.14","6.10","6.11"," 0.00","71",
"106/01/17","192,122","1,173,884","6.13","6.14","6.10","6.12","+0.01","49",
"106/01/18","1,744,674","11,156,818","6.20","6.49","6.20","6.37","+0.25","591",
"106/01/19","715,100","4,506,230","6.37","6.37","6.25","6.29","-0.08","144",
"106/01/20","377,855","2,381,381","6.31","6.36","6.26","6.30","+0.01","128",
"106/01/23","565,335","3,607,336","6.32","6.44","6.31","6.39","+0.09","147",
"106/01/24","386,718","2,469,210","6.40","6.42","6.32","6.35","-0.04","97",
