106年01月 1416廣豐            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","267,090","6,802,288","25.00","25.65","25.00","25.65","+0.20","119",
"106/01/04","207,382","5,286,429","25.60","25.60","25.40","25.45","-0.20","92",
"106/01/05","316,832","8,048,926","25.40","25.50","25.30","25.50","+0.05","121",
"106/01/06","310,220","7,903,207","25.50","25.65","25.25","25.60","+0.10","139",
"106/01/09","286,051","7,326,495","25.60","25.70","25.50","25.65","+0.05","111",
"106/01/10","255,880","6,548,831","25.65","25.75","25.30","25.70","+0.05","128",
"106/01/11","2,108,182","56,809,935","26.05","27.50","26.05","26.80","+1.10","886",
"106/01/12","808,206","21,756,676","27.20","27.30","26.70","26.75","-0.05","396",
"106/01/13","769,910","20,558,428","26.75","26.95","26.45","26.95","+0.20","311",
"106/01/16","343,875","9,244,333","27.00","27.00","26.55","26.95"," 0.00","186",
"106/01/17","434,997","11,688,907","26.80","26.95","26.80","26.80","-0.15","220",
"106/01/18","631,772","16,875,802","26.85","26.95","26.50","26.70","-0.10","249",
"106/01/19","420,899","11,172,770","26.70","26.70","26.50","26.55","-0.15","176",
"106/01/20","288,725","7,657,993","26.50","26.70","26.40","26.50","-0.05","145",
"106/01/23","265,830","7,042,403","26.55","26.65","26.40","26.45","-0.05","151",
"106/01/24","384,844","10,145,358","26.40","26.45","26.30","26.40","-0.05","165",
