106年01月 1417嘉裕            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","1,231,664","6,434,854","5.13","5.27","5.13","5.16","+0.03","274",
"106/01/04","493,007","2,545,775","5.17","5.20","5.15","5.16"," 0.00","97",
"106/01/05","330,666","1,709,404","5.18","5.19","5.15","5.15","-0.01","122",
"106/01/06","614,249","3,150,490","5.16","5.19","5.10","5.15"," 0.00","220",
"106/01/09","266,740","1,376,331","5.15","5.19","5.15","5.16","+0.01","107",
"106/01/10","322,716","1,667,162","5.18","5.19","5.15","5.16"," 0.00","86",
"106/01/11","204,447","1,056,315","5.18","5.19","5.15","5.17","+0.01","82",
"106/01/12","275,160","1,420,395","5.18","5.18","5.15","5.16","-0.01","89",
"106/01/13","307,326","1,592,961","5.17","5.20","5.17","5.17","+0.01","101",
"106/01/16","1,284,927","6,740,509","5.19","5.30","5.18","5.19","+0.02","321",
"106/01/17","610,392","3,172,137","5.22","5.25","5.15","5.18","-0.01","166",
"106/01/18","1,092,219","5,698,276","5.18","5.25","5.16","5.20","+0.02","332",
"106/01/19","1,088,567","5,652,148","5.20","5.22","5.17","5.18","-0.02","186",
"106/01/20","421,536","2,189,475","5.20","5.22","5.18","5.19","+0.01","97",
"106/01/23","449,079","2,341,366","5.20","5.24","5.20","5.21","+0.02","148",
"106/01/24","656,419","3,429,416","5.22","5.25","5.20","5.21"," 0.00","186",
