106年01月 1418東華            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","5,055","31,733","6.28","6.28","6.28","6.28","+0.10","10",
"106/01/04","27,055","164,656","5.83","6.25","5.82","6.25","-0.03","6",
"106/01/05","25,156","152,134","5.90","6.18","5.90","6.00","-0.25","18",
"106/01/06","3","18","0.00","0.00","0.00","0.00"," 0.00","3",
"106/01/09","22","139","0.00","0.00","0.00","0.00"," 0.00","14",
"106/01/10","1,008","5,661","5.61","5.61","5.61","5.61","X0.00","5",
"106/01/11","2,150","11,420","5.31","5.31","5.31","5.31","-0.30","10",
"106/01/12","66,222","367,881","5.31","5.84","5.31","5.84","+0.53","20",
"106/01/13","18,021","111,526","5.70","6.25","5.70","6.25","+0.41","19",
"106/01/16","70,013","423,118","6.00","6.20","6.00","6.01","-0.24","16",
"106/01/17","15,090","91,640","5.69","6.19","5.69","6.15","+0.14","16",
"106/01/18","124,209","771,445","6.20","6.25","5.81","6.25","+0.10","33",
"106/01/19","29,560","176,241","6.00","6.15","5.88","6.15","-0.10","19",
"106/01/20","14,514","88,580","6.13","6.15","5.90","6.15"," 0.00","20",
"106/01/23","14,220","84,862","5.93","6.13","5.88","6.13","-0.02","19",
"106/01/24","32,136","195,897","6.09","6.14","6.05","6.10","-0.03","14",
