106年01月 1419新紡            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","67,730","2,695,978","39.70","40.05","39.70","40.05","+0.45","20",
"106/01/04","4,173","166,885","40.05","40.05","39.95","40.00","-0.05","5",
"106/01/05","26,050","1,045,990","40.00","40.45","39.95","39.95","-0.05","16",
"106/01/06","40,323","1,627,950","40.50","40.50","39.95","40.35","+0.40","23",
"106/01/09","77,007","3,089,930","39.90","40.50","39.90","40.10","-0.25","20",
"106/01/10","38,199","1,539,148","40.20","40.50","40.00","40.10"," 0.00","29",
"106/01/11","21,008","841,768","40.10","40.10","40.05","40.05","-0.05","10",
"106/01/12","3,033","121,059","40.05","40.05","40.00","40.00","-0.05","6",
"106/01/13","12,185","490,650","40.00","40.50","40.00","40.05","+0.05","18",
"106/01/16","47,552","1,890,165","39.70","40.05","39.70","40.05"," 0.00","16",
"106/01/17","7,516","300,834","40.05","40.05","40.05","40.05"," 0.00","7",
"106/01/18","113,259","4,553,432","39.90","40.55","39.90","40.10","+0.05","70",
"106/01/19","28,206","1,133,081","39.95","40.50","39.95","40.45","+0.35","13",
"106/01/20","80,049","3,228,360","40.45","40.75","40.10","40.15","-0.30","24",
"106/01/23","32,553","1,305,556","40.15","40.15","40.00","40.00","-0.15","23",
"106/01/24","19,108","771,252","40.10","40.50","40.10","40.50","+0.50","10",
