106年01月 1423利華            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","39,009","263,626","6.85","6.85","6.73","6.73","-0.10","22",
"106/01/04","115,301","771,447","6.74","6.74","6.67","6.71","-0.02","29",
"106/01/05","47,245","315,958","6.75","6.75","6.68","6.69","-0.02","23",
"106/01/06","91,358","609,299","6.68","6.68","6.66","6.68","-0.01","30",
"106/01/09","38,222","253,908","6.65","6.65","6.64","6.64","-0.04","24",
"106/01/10","78,011","517,879","6.65","6.65","6.62","6.64"," 0.00","25",
"106/01/11","72,015","479,445","6.66","6.73","6.64","6.72","+0.08","25",
"106/01/12","186,346","1,254,213","6.70","6.79","6.70","6.78","+0.06","40",
"106/01/13","24,756","166,479","6.77","6.77","6.68","6.75","-0.03","20",
"106/01/16","43,974","297,161","6.75","6.79","6.74","6.79","+0.04","25",
"106/01/17","75,252","509,250","6.72","6.78","6.72","6.78","-0.01","24",
"106/01/18","432,003","3,039,601","6.97","7.22","6.90","7.07","+0.29","157",
"106/01/19","150,006","1,045,497","6.98","7.05","6.94","7.00","-0.07","47",
"106/01/20","82,223","570,007","6.90","7.00","6.89","6.99","-0.01","39",
"106/01/23","95,949","674,790","7.00","7.09","7.00","7.09","+0.10","41",
"106/01/24","24,665","173,205","6.92","7.10","6.92","7.07","-0.02","20",
