106年01月 1434福懋            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","489,747","14,486,821","29.40","29.70","29.25","29.65","+0.15","246",
"106/01/04","1,106,637","33,095,294","29.65","30.10","29.55","30.00","+0.35","528",
"106/01/05","608,296","18,191,313","29.95","30.00","29.75","30.00"," 0.00","431",
"106/01/06","1,513,073","45,661,604","30.00","30.40","30.00","30.30","+0.30","810",
"106/01/09","454,895","13,713,000","30.35","30.40","30.00","30.10","-0.20","268",
"106/01/10","402,824","12,131,770","30.05","30.25","30.00","30.10"," 0.00","209",
"106/01/11","671,899","20,266,170","30.15","30.25","30.05","30.20","+0.10","404",
"106/01/12","1,153,588","35,029,708","30.25","30.45","30.25","30.40","+0.20","727",
"106/01/13","1,115,588","33,996,158","30.40","30.55","30.35","30.55","+0.15","609",
"106/01/16","1,046,098","31,896,020","30.65","30.65","30.20","30.55"," 0.00","694",
"106/01/17","866,414","26,470,844","30.55","30.60","30.45","30.55"," 0.00","424",
"106/01/18","1,070,055","32,373,565","30.35","30.55","30.00","30.00","-0.55","755",
"106/01/19","798,193","23,976,026","30.00","30.20","30.00","30.05","+0.05","512",
"106/01/20","739,547","22,191,060","30.00","30.15","29.80","30.00","-0.05","400",
"106/01/23","1,354,644","41,245,973","30.20","30.60","30.20","30.50","+0.50","747",
"106/01/24","1,165,445","35,296,842","30.30","30.50","30.10","30.10","-0.40","759",
