106年01月 1435中福            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","29,010","122,400","4.21","4.24","4.15","4.20","-0.01","15",
"106/01/04","36,009","147,346","4.02","4.17","4.02","4.17","-0.03","24",
"106/01/05","27,212","113,007","4.12","4.17","4.12","4.17"," 0.00","29",
"106/01/06","57,024","238,236","4.17","4.19","4.17","4.18","+0.01","33",
"106/01/09","11,159","46,328","4.14","4.18","4.14","4.18"," 0.00","32",
"106/01/10","21,951","90,765","4.13","4.17","4.13","4.17","-0.01","19",
"106/01/11","40,681","168,161","4.15","4.19","4.13","4.19","+0.02","30",
"106/01/12","24,033","99,772","4.15","4.19","4.15","4.19"," 0.00","25",
"106/01/13","27,033","113,022","4.19","4.19","4.16","4.19"," 0.00","27",
"106/01/16","83,189","346,792","4.19","4.19","4.14","4.18","-0.01","31",
"106/01/17","29,018","121,564","4.15","4.22","4.15","4.19","+0.01","16",
"106/01/18","217,093","912,257","4.19","4.50","4.18","4.21","+0.02","76",
"106/01/19","223,052","957,130","4.25","4.38","4.22","4.35","+0.14","92",
"106/01/20","1,123,156","5,303,284","4.38","4.78","4.38","4.78","+0.43","216",
"106/01/23","1,036,213","5,153,435","5.08","5.10","4.81","5.00","+0.22","274",
"106/01/24","380,266","1,859,727","4.90","4.98","4.85","4.85","-0.15","100",
