106年01月 1436華友聯          各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","13,005","511,145","39.40","39.40","39.05","39.10","-0.30","10",
"106/01/04","16,780","656,664","39.10","39.20","39.10","39.20","+0.10","9",
"106/01/05","15,059","590,689","39.20","39.25","39.20","39.25","+0.05","9",
"106/01/06","15,014","589,344","39.25","39.30","39.25","39.25"," 0.00","7",
"106/01/09","13,015","510,326","39.25","39.30","39.20","39.20","-0.05","5",
"106/01/10","19,735","773,373","39.20","39.25","38.85","39.15","-0.05","13",
"106/01/11","19,877","780,253","39.20","39.30","39.20","39.30","+0.15","9",
"106/01/12","22,315","876,406","39.30","39.35","39.30","39.35","+0.05","16",
"106/01/13","36,000","1,411,800","39.35","39.45","38.80","39.00","-0.35","27",
"106/01/16","15,112","589,579","39.10","39.10","38.65","39.10","+0.10","10",
"106/01/17","9,974","390,278","39.10","39.15","39.10","39.15","+0.05","13",
"106/01/18","30,329","1,183,215","39.10","39.10","38.90","39.00","-0.15","20",
"106/01/19","21,585","843,268","39.05","39.10","38.80","39.10","+0.10","12",
"106/01/20","56,288","2,211,318","39.10","39.85","39.10","39.85","+0.75","36",
"106/01/23","32,090","1,276,996","39.80","40.00","39.20","40.00","+0.15","18",
"106/01/24","45,265","1,795,086","40.00","40.00","39.25","39.95","-0.05","48",
