106年01月 1437勤益控          各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","118,000","1,948,600","16.60","16.60","16.45","16.60","+0.05","43",
"106/01/04","384,000","6,444,250","16.50","16.90","16.50","16.70","+0.10","120",
"106/01/05","202,832","3,410,452","16.75","16.90","16.70","16.70"," 0.00","64",
"106/01/06","207,368","3,515,981","16.70","17.05","16.70","16.95","+0.25","95",
"106/01/09","137,002","2,323,384","17.00","17.05","16.90","16.95"," 0.00","59",
"106/01/10","210,000","3,580,950","16.90","17.20","16.80","17.05","+0.10","108",
"106/01/11","333,155","5,688,535","17.05","17.15","17.00","17.10","+0.05","89",
"106/01/12","181,270","3,091,263","17.15","17.15","17.00","17.05","-0.05","60",
"106/01/13","268,242","4,506,691","17.05","17.05","16.65","16.75","-0.30","88",
"106/01/16","213,321","3,528,513","16.75","16.75","16.45","16.45","-0.30","93",
"106/01/17","104,244","1,720,463","16.45","16.60","16.45","16.50","+0.05","45",
"106/01/18","97,000","1,606,800","16.50","16.65","16.50","16.65","+0.15","59",
"106/01/19","153,342","2,534,943","16.55","16.65","16.45","16.55","-0.10","53",
"106/01/20","135,364","2,249,542","16.60","16.70","16.55","16.70","+0.15","53",
"106/01/23","216,376","3,618,279","16.75","16.80","16.60","16.80","+0.10","68",
"106/01/24","541,386","9,258,699","16.75","17.40","16.75","17.25","+0.45","202",
