106年01月 1439中和            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","158,032","2,501,160","15.70","15.90","15.70","15.80","+0.05","59",
"106/01/04","101,100","1,593,030","15.90","15.90","15.60","15.80"," 0.00","43",
"106/01/05","154,000","2,442,900","15.90","15.90","15.85","15.90","+0.10","35",
"106/01/06","119,000","1,877,300","15.90","15.90","15.70","15.75","-0.15","41",
"106/01/09","190,100","2,961,490","15.70","15.70","15.45","15.45","-0.30","47",
"106/01/10","83,000","1,289,550","15.50","15.65","15.45","15.45"," 0.00","41",
"106/01/11","430,000","6,604,750","15.55","15.55","15.30","15.30","-0.15","87",
"106/01/12","235,215","3,636,789","15.35","15.55","15.35","15.55","+0.25","55",
"106/01/13","748,619","11,453,439","15.45","15.45","15.25","15.45","-0.10","119",
"106/01/16","108,400","1,669,878","15.45","15.45","15.40","15.45"," 0.00","22",
"106/01/17","203,670","3,197,785","15.45","16.05","15.45","15.75","+0.30","109",
"106/01/18","1,602,739","27,565,534","17.00","17.30","16.55","17.30","+1.55","550",
"106/01/19","1,649,200","28,151,070","17.30","17.30","16.80","16.80","-0.50","672",
"106/01/20","449,000","7,476,100","17.00","17.05","16.45","16.50","-0.30","210",
"106/01/23","1,019,123","17,621,431","16.45","17.65","16.40","17.40","+0.90","518",
"106/01/24","3,043,100","57,281,810","17.65","19.10","17.65","19.10","+1.70","1,059",
