106年01月 1440南紡            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","470,138","5,722,670","12.25","12.25","12.10","12.25","+0.05","213",
"106/01/04","380,154","4,637,226","12.20","12.25","12.15","12.15","-0.10","198",
"106/01/05","742,263","9,116,654","12.20","12.30","12.20","12.30","+0.15","242",
"106/01/06","4,429,418","55,899,355","12.30","12.85","12.25","12.70","+0.40","1,318",
"106/01/09","9,216,410","120,562,936","12.80","13.50","12.75","12.75","+0.05","1,918",
"106/01/10","2,475,802","31,267,719","12.70","12.80","12.45","12.55","-0.20","592",
"106/01/11","916,711","11,600,199","12.55","12.75","12.55","12.65","+0.10","353",
"106/01/12","795,656","10,119,436","12.65","12.80","12.65","12.75","+0.10","322",
"106/01/13","642,906","8,161,792","12.70","12.75","12.60","12.75"," 0.00","207",
"106/01/16","3,761,098","48,701,195","12.70","13.10","12.70","12.80","+0.05","1,034",
"106/01/17","3,525,276","45,762,942","12.90","13.15","12.70","13.15","+0.35","1,006",
"106/01/18","25,265,822","352,679,658","13.80","14.20","13.65","14.00","+0.85","5,558",
"106/01/19","4,022,606","55,599,103","14.00","14.00","13.65","13.90","-0.10","1,363",
"106/01/20","1,591,396","21,907,411","13.75","13.85","13.70","13.75","-0.15","646",
"106/01/23","1,946,567","26,608,943","13.80","13.85","13.55","13.55","-0.20","688",
"106/01/24","2,453,727","33,570,359","13.65","13.80","13.55","13.70","+0.15","801",
