106年01月 1442名軒            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","29,126","519,035","17.75","17.90","17.70","17.75","+0.05","26",
"106/01/04","56,164","999,618","17.80","17.90","17.70","17.85","+0.10","36",
"106/01/05","70,399","1,251,152","17.85","17.90","17.70","17.75","-0.10","25",
"106/01/06","57,915","1,027,178","17.65","17.85","17.65","17.85","+0.10","49",
"106/01/09","74,597","1,327,336","17.90","17.90","17.75","17.80","-0.05","52",
"106/01/10","105,958","1,889,404","17.80","18.05","17.70","17.75","-0.05","62",
"106/01/11","77,104","1,368,140","17.80","17.80","17.70","17.75"," 0.00","42",
"106/01/12","52,512","931,558","17.75","17.80","17.70","17.70","-0.05","39",
"106/01/13","105,401","1,857,856","17.70","17.70","17.60","17.65","-0.05","50",
"106/01/16","72,552","1,283,518","17.80","17.80","17.65","17.65"," 0.00","34",
"106/01/17","58,654","1,034,859","17.75","17.75","17.60","17.60","-0.05","31",
"106/01/18","160,094","2,822,894","17.75","17.75","17.60","17.60"," 0.00","91",
"106/01/19","215,950","3,804,374","17.70","17.70","17.55","17.55","-0.05","92",
"106/01/20","76,568","1,344,838","17.60","17.60","17.50","17.60","+0.05","55",
"106/01/23","122,200","2,139,929","17.60","17.60","17.45","17.50","-0.10","76",
"106/01/24","74,163","1,301,552","17.55","17.60","17.50","17.60","+0.10","39",
