106年01月 1443立益            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","12,646","55,999","4.47","4.47","4.31","4.47"," 0.00","16",
"106/01/04","25,023","110,526","4.47","4.47","4.39","4.39","-0.08","15",
"106/01/05","1,008","4,442","4.41","4.41","4.41","4.41","+0.02","6",
"106/01/06","8,788","39,753","4.54","4.58","4.43","4.58","+0.17","12",
"106/01/09","23","115","0.00","0.00","0.00","0.00"," 0.00","10",
"106/01/10","145,557","693,417","4.64","4.89","4.44","4.65","X0.00","46",
"106/01/11","25,181","117,414","4.65","4.70","4.62","4.70","+0.05","40",
"106/01/12","13,032","59,536","4.55","4.73","4.55","4.73","+0.03","12",
"106/01/13","12,028","55,361","4.56","4.80","4.50","4.78","+0.05","26",
"106/01/16","1,035","4,793","4.64","4.64","4.64","4.64","-0.14","21",
"106/01/17","2,420","10,953","4.53","4.53","4.53","4.53","-0.11","21",
"106/01/18","66,968","319,594","4.46","4.98","4.46","4.82","+0.29","56",
"106/01/19","11,989","55,811","4.82","4.82","4.61","4.70","-0.12","31",
"106/01/20","26,096","126,156","4.60","4.99","4.60","4.80","+0.10","29",
"106/01/23","19,014","91,916","4.85","4.99","4.70","4.95","+0.15","26",
"106/01/24","231,002","1,207,608","5.05","5.42","5.05","5.38","+0.43","88",
