106年01月 1444力麗            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","544,294","4,466,575","8.20","8.27","8.18","8.23","-0.01","255",
"106/01/04","708,710","5,854,329","8.30","8.31","8.20","8.24","+0.01","272",
"106/01/05","829,567","6,834,634","8.24","8.27","8.20","8.25","+0.01","250",
"106/01/06","502,012","4,155,221","8.25","8.32","8.22","8.26","+0.01","259",
"106/01/09","615,944","5,102,408","8.34","8.38","8.20","8.20","-0.06","267",
"106/01/10","690,807","5,664,544","8.17","8.25","8.16","8.23","+0.03","220",
"106/01/11","532,869","4,400,347","8.23","8.29","8.22","8.29","+0.06","205",
"106/01/12","562,889","4,679,534","8.30","8.34","8.29","8.32","+0.03","348",
"106/01/13","252,132","2,090,721","8.29","8.32","8.28","8.30","-0.02","127",
"106/01/16","375,078","3,103,037","8.29","8.31","8.21","8.26","-0.04","128",
"106/01/17","476,187","3,950,518","8.29","8.32","8.25","8.32","+0.06","200",
"106/01/18","3,489,948","29,711,804","8.35","8.61","8.33","8.50","+0.18","958",
"106/01/19","711,122","5,995,485","8.50","8.52","8.38","8.40","-0.10","303",
"106/01/20","1,529,309","13,027,387","8.51","8.56","8.46","8.46","+0.06","502",
"106/01/23","1,094,985","9,293,737","8.56","8.59","8.44","8.45","-0.01","358",
"106/01/24","1,159,782","9,861,979","8.45","8.57","8.45","8.47","+0.02","480",
