106年01月 1445大宇            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","81,540","731,692","9.04","9.04","8.95","9.02","-0.02","35",
"106/01/04","316,007","2,822,953","8.95","8.97","8.88","8.93","-0.09","83",
"106/01/05","418,019","3,745,066","8.93","9.00","8.90","8.96","+0.03","81",
"106/01/06","186,502","1,672,205","8.97","8.99","8.92","8.98","+0.02","39",
"106/01/09","292,006","2,607,164","8.98","8.98","8.85","8.94","-0.04","77",
"106/01/10","170,003","1,510,435","8.90","8.91","8.83","8.91","-0.03","47",
"106/01/11","180,005","1,603,515","8.91","8.94","8.88","8.94","+0.03","41",
"106/01/12","123,007","1,096,743","8.96","8.96","8.90","8.94"," 0.00","42",
"106/01/13","129,257","1,153,403","8.94","8.97","8.90","8.95","+0.01","39",
"106/01/16","321,579","2,860,020","8.96","8.96","8.86","8.90","-0.05","55",
"106/01/17","230,008","2,040,188","8.86","8.92","8.84","8.92","+0.02","45",
"106/01/18","775,003","6,980,167","8.90","9.07","8.90","9.04","+0.12","131",
"106/01/19","128,003","1,156,714","9.05","9.08","8.98","8.98","-0.06","39",
"106/01/20","64,011","576,009","8.97","9.03","8.97","9.03","+0.05","31",
"106/01/23","163,571","1,475,309","9.03","9.06","8.92","9.06","+0.03","64",
"106/01/24","70,283","633,097","9.07","9.07","8.97","9.03","-0.03","25",
