106年01月 1446宏和            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","185,000","3,339,450","18.00","18.15","17.95","18.05","+0.15","60",
"106/01/04","130,001","2,327,317","18.05","18.05","17.75","17.75","-0.30","47",
"106/01/05","121,178","2,142,500","17.75","17.80","17.65","17.80","+0.05","46",
"106/01/06","259,116","4,687,460","17.80","18.35","17.80","18.30","+0.50","89",
"106/01/09","93,608","1,689,222","18.25","18.25","17.95","17.95","-0.35","41",
"106/01/10","135,000","2,427,650","18.00","18.00","17.85","17.90","-0.05","20",
"106/01/11","90,825","1,600,319","17.60","17.75","17.60","17.60","-0.30","44",
"106/01/12","112,016","1,955,178","17.65","17.65","17.40","17.50","-0.10","47",
"106/01/13","35,100","610,150","17.35","17.50","17.30","17.40","-0.10","13",
"106/01/16","52,000","905,200","17.55","17.55","17.40","17.40"," 0.00","30",
"106/01/17","52,912","924,060","17.50","17.60","17.45","17.60","+0.20","15",
"106/01/18","60,099","1,058,491","17.60","17.75","17.50","17.75","+0.15","36",
"106/01/19","30,093","532,536","17.60","17.80","17.60","17.75"," 0.00","14",
"106/01/20","39,136","691,930","17.80","17.80","17.55","17.60","-0.15","26",
"106/01/23","26,703","473,272","17.65","17.75","17.65","17.75","+0.15","13",
"106/01/24","11,000","194,350","17.75","17.75","17.65","17.70","-0.05","11",
