106年01月 1447力鵬            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","684,373","5,549,883","8.15","8.16","8.06","8.10","-0.03","268",
"106/01/04","1,142,149","9,234,585","8.12","8.15","8.06","8.06","-0.04","396",
"106/01/05","936,365","7,587,421","8.11","8.13","8.06","8.12","+0.06","377",
"106/01/06","1,058,253","8,655,568","8.15","8.23","8.10","8.20","+0.08","430",
"106/01/09","1,762,702","14,575,026","8.24","8.36","8.20","8.23","+0.03","549",
"106/01/10","588,359","4,840,601","8.25","8.30","8.19","8.19","-0.04","241",
"106/01/11","2,116,584","17,574,921","8.34","8.36","8.23","8.31","+0.12","844",
"106/01/12","2,167,968","18,133,312","8.34","8.42","8.32","8.42","+0.11","848",
"106/01/13","1,247,117","10,458,028","8.46","8.48","8.32","8.35","-0.07","566",
"106/01/16","1,130,581","9,377,310","8.35","8.37","8.23","8.35"," 0.00","373",
"106/01/17","695,005","5,774,768","8.35","8.36","8.29","8.31","-0.04","333",
"106/01/18","6,019,637","51,852,490","8.35","8.78","8.33","8.56","+0.25","1,860",
"106/01/19","1,666,828","14,069,495","8.56","8.56","8.40","8.42","-0.14","640",
"106/01/20","1,526,123","12,979,834","8.48","8.58","8.43","8.46","+0.04","528",
"106/01/23","1,629,378","13,797,997","8.52","8.55","8.42","8.42","-0.04","508",
"106/01/24","2,530,457","21,644,293","8.45","8.69","8.44","8.52","+0.10","733",
