106年01月 1449佳和            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","8,282","33,954","4.10","4.10","4.10","4.10"," 0.00","16",
"106/01/04","39,871","161,060","4.03","4.17","4.03","4.17","+0.07","13",
"106/01/05","48,003","195,202","4.11","4.11","4.05","4.07","-0.10","13",
"106/01/06","108,130","439,022","4.08","4.10","4.01","4.10","+0.03","25",
"106/01/09","131,405","531,217","4.15","4.29","4.03","4.05","-0.05","35",
"106/01/10","32,409","130,898","4.03","4.06","4.03","4.06","+0.01","17",
"106/01/11","10,580","43,056","4.08","4.09","4.06","4.09","+0.03","17",
"106/01/12","32,449","132,869","4.09","4.18","4.07","4.13","+0.04","15",
"106/01/13","70,785","291,831","4.10","4.23","4.08","4.14","+0.01","26",
"106/01/16","90,340","375,420","4.29","4.29","4.12","4.12","-0.02","36",
"106/01/17","80,515","330,764","4.21","4.27","4.07","4.08","-0.04","36",
"106/01/18","268,622","1,123,537","4.19","4.25","4.09","4.16","+0.08","92",
"106/01/19","459,585","2,058,149","4.20","4.57","4.16","4.57","+0.41","105",
"106/01/20","503,838","2,529,262","5.02","5.02","5.02","5.02","+0.45","108",
"106/01/23","2,091,542","11,510,046","5.52","5.52","5.42","5.52","+0.50","366",
"106/01/24","1,072,184","6,255,466","5.96","6.00","5.50","5.65","+0.13","310",
