106年01月 1451年興            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","28,445","689,713","24.25","24.30","24.15","24.30","+0.05","31",
"106/01/04","78,500","1,907,750","24.30","24.35","24.25","24.35","+0.05","64",
"106/01/05","118,927","2,902,320","24.35","24.45","24.30","24.45","+0.10","91",
"106/01/06","86,503","2,111,371","24.50","24.50","24.35","24.40","-0.05","65",
"106/01/09","75,103","1,830,958","24.40","24.40","24.35","24.35","-0.05","41",
"106/01/10","121,198","2,951,870","24.35","24.40","24.30","24.35"," 0.00","61",
"106/01/11","101,340","2,474,111","24.40","24.45","24.35","24.45","+0.10","73",
"106/01/12","237,941","5,845,296","24.45","24.60","24.45","24.60","+0.15","140",
"106/01/13","122,555","3,017,069","24.60","24.65","24.55","24.65","+0.05","91",
"106/01/16","149,690","3,677,961","24.65","24.65","24.50","24.60","-0.05","97",
"106/01/17","58,845","1,442,056","24.60","24.60","24.50","24.50","-0.10","35",
"106/01/18","168,433","4,149,749","24.50","24.70","24.50","24.70","+0.20","107",
"106/01/19","133,414","3,293,832","24.70","24.75","24.60","24.65","-0.05","88",
"106/01/20","68,608","1,684,763","24.65","24.65","24.50","24.55","-0.10","43",
"106/01/23","82,538","2,028,905","24.60","24.65","24.50","24.60","+0.05","43",
"106/01/24","102,424","2,513,487","24.60","24.60","24.50","24.55","-0.05","53",
